inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
50340,3,2,1,202003
52297,1,,,202001
51855,3,2,1,202003
51400,5,3,2,202005
51280,11,4,4,202003
noPort,1416,967,341,202001
50650,2,1,1,202004
51180,4,4,,202003
51220,34,16,17,202002
51320,1,,,202005
51815,46,42,4,202001
52240,20,18,2,202003
50441,5,2,3,202001
50790,2,,2,202002
51260,6,,6,202001
51800,1,1,,202001
50210,3,3,,202001
50350,6,2,4,202006
50600,1,1,,202005
52510,3,3,,202001
53100,1,,1,202006
50790,1,1,,202001
51830,4,4,,202006
51870,15,11,4,202002
52320,36,24,11,202003
52760,2,1,,202002
50140,28,9,14,202001
50450,24,14,10,202004
50517,2,,1,202004
50971,22,14,6,202001
51770,8,7,,202004
50040,2,2,,202001
50971,32,20,7,202004
51910,7,5,2,202006
53020,7,5,1,202001
50935,124,57,65,202006
51820,6,5,1,202001
50450,17,7,10,202003
51010,5,1,3,202006
51850,1,1,,202004
51920,2,2,,202005
52220,1,,1,202001
53010,5,3,2,202001
51920,1,,,202003
50210,2,2,,202003
51200,7,1,6,202001
51504,3,,2,202002
52510,2,2,,202003
50140,13,7,5,202005
50518,1,1,,202006
51484,1,,1,202003
51800,1,1,,202002
51830,5,2,2,202002
51890,9,7,2,202006
50030,722,469,234,202003
50030,286,120,147,202006
52260,3,,3,202004
50517,2,1,1,202002
51845,41,22,18,202004
52523,2,1,1,202002
50518,1,1,,202005
52695,1,,1,202004
52065,22,18,4,202001
52350,3,3,,202005
53020,5,2,1,202004
50030,599,365,214,202004
50060,65,34,30,202001
51320,2,1,1,202002
51803,8,8,,202006
51865,1,1,,202002
53010,2,2,,202006
50350,5,3,2,202004
51040,26,20,5,202002
51810,9,9,,202001
51815,42,37,3,202002
52350,2,,2,202006
52510,1,,1,202002
51815,22,19,3,202004
52040,1,,1,202004
50932,1,1,,202003
52040,1,,1,202006
52240,25,21,2,202004
50935,133,71,59,202005
51810,10,10,,202002
50210,2,2,,202005
50340,3,2,1,202002
50040,3,3,,202002
53115,14,11,2,202003
51260,11,1,9,202003
51400,10,5,5,202002
51840,1,1,,202001
52140,1,,1,202003
50380,40,27,11,202006
52320,42,26,14,202004
52235,3,2,1,202005
50450,15,6,8,202006
51890,13,9,3,202005
52235,1,1,,202001
50510,1,,,202003
50600,2,1,,202004
50970,227,184,33,202003
51010,5,3,2,202004
51100,17,2,14,202006
51810,4,4,,202006
51870,19,5,13,202005
51910,5,4,,202003
51845,50,20,25,202001
52320,23,16,7,202005
53130,8,5,1,202004
50040,2,,2,202006
50730,26,14,10,202002
50805,5,4,1,202002
51340,1,,,202005
52940,1,1,,202002
50060,66,27,35,202002
51200,9,1,7,202005
51845,44,25,15,202005
51830,8,7,1,202004
50380,32,15,15,202004
51770,6,6,,202002
51840,1,,1,202003
51865,2,1,1,202003
50805,5,3,2,202001
50930,1,,1,202002
52660,1,1,,202004
50140,19,7,9,202004
51770,7,6,,202005
51941,15,9,4,202002
50516,357,44,299,202005
51220,29,15,14,202006
51865,1,1,,202004
51870,10,,9,202006
50730,24,15,8,202003
53133,6,4,2,202005
50350,6,5,1,202001
51941,15,10,4,202005
52090,2,1,1,202001
52270,1,1,,202001
52350,6,4,2,202001
50055,811,514,266,202004
50380,31,14,15,202002
50600,3,2,1,202001
50805,2,2,,202006
51803,5,5,,202004
52040,1,,1,202005
52297,2,,2,202003
52870,2,1,1,202004
50925,1,1,,202003
52090,1,1,,202006
53115,14,12,,202006
50516,429,57,359,202001
51920,5,3,1,202002
51941,17,10,6,202004
52220,3,3,,202002
51040,34,26,6,202006
52295,1,1,,202003
50971,32,21,9,202002
51260,7,,6,202005
51320,3,1,2,202004
50045,1,1,,202002
50935,135,61,71,202001
51400,7,4,3,202001
52260,5,,5,202006
53115,13,11,,202002
50700,5,3,2,202001
51200,9,1,6,202003
51280,9,5,1,202004
52760,2,1,1,202003
50060,39,20,18,202005
50380,29,16,11,202003
50040,3,3,1,202003
50785,33,8,26,202001
50055,953,617,297,202003
53010,5,4,,202004
51180,2,2,,202001
52140,1,,1,202001
52523,1,,1,202005
50040,2,1,1,202004
52295,5,4,1,202001
50070,1,1,,202001
51220,37,17,18,202003
51484,1,,1,202001
51803,14,11,1,202003
51803,14,13,1,202005
51840,1,,1,202005
53020,8,4,3,202002
52940,2,1,1,202006
50300,17,11,5,202004
51320,3,2,1,202003
51840,1,,1,202002
52660,1,1,,202001
50300,15,7,7,202006
50450,14,8,5,202005
50785,22,4,18,202002
53133,4,2,2,202003
50055,625,389,201,202006
50340,2,1,,202001
51205,1,,1,202005
52235,2,1,1,202006
50610,1,1,,202006
50700,5,2,3,202006
51920,3,2,1,202001
53130,7,5,1,202003
51320,3,,3,202006
noPort,979,670,260,202004
51890,16,9,5,202004
51220,33,16,17,202001
52320,27,15,10,202006
52870,3,1,1,202003
52870,1,,1,202006
53130,7,5,,202006
50030,834,529,280,202001
52870,2,1,,202001
51100,24,4,16,202001
52065,15,9,4,202002
51770,15,12,,202003
50650,1,,1,202001
50970,181,138,35,202002
50971,32,26,5,202003
52720,18,7,11,202002
53133,6,3,2,202006
52240,22,20,2,202005
52320,36,21,12,202002
51830,2,,1,202005
51890,15,12,2,202002
53133,8,6,2,202001
50450,19,12,7,202001
50210,3,3,,202004
51180,2,2,1,202002
51890,14,10,1,202003
50045,1,1,,202001
51010,3,2,1,202005
51020,1,1,,202004
52320,45,30,15,202001
50340,4,2,1,202006
51890,13,10,2,202001
53115,8,6,1,202004
52270,1,1,,202005
50971,33,19,8,202006
50060,58,34,23,202004
52065,15,10,6,202004
50971,35,29,5,202005
51100,20,5,10,202003
51130,128,87,37,202001
51200,5,,4,202004
51350,1,,1,202003
52065,19,8,10,202005
50055,708,406,265,202005
51020,1,1,,202002
51130,151,109,35,202004
51941,21,15,6,202003
51941,13,10,2,202006
51200,5,,4,202006
51205,1,1,,202004
51770,5,5,,202006
51070,1,,1,202002
51910,1,1,,202002
52235,4,2,2,202003
50300,20,14,4,202002
51254,4,3,1,202002
51830,8,5,2,202003
52040,1,,1,202002
52510,1,,1,202005
50340,2,,1,202004
52940,2,1,1,202004
53000,1,1,,202003
53130,5,3,1,202001
50231,2,,2,202002
50935,173,88,81,202003
50510,1,,,202001
50925,1,1,,202004
51400,10,4,6,202004
53100,2,1,1,202005
50350,5,2,1,202005
51020,1,1,,202003
52350,4,4,,202004
52270,1,1,,202003
53115,11,9,1,202005
50030,683,434,227,202002
50210,3,3,,202006
51040,44,33,9,202001
52040,1,,1,202003
52140,1,,1,202002
50441,1,,1,202006
50935,175,87,81,202004
51330,1,,,202005
51350,1,,1,202002
50040,2,1,1,202005
51820,5,4,,202004
50805,1,,1,202005
52230,3,2,1,202004
50441,7,5,2,202005
51280,10,7,1,202005
51500,2,,,202001
52695,1,,,202003
51803,7,7,,202002
50140,23,6,14,202002
50785,19,8,11,202005
51130,151,105,39,202003
51130,135,99,31,202006
51180,2,2,,202006
52240,17,15,1,202006
50441,9,5,3,202004
51200,7,,6,202002
50517,4,2,2,202005
51010,7,2,4,202001
53100,2,1,1,202003
53010,3,2,1,202003
50100,1,1,,202004
50450,18,7,11,202002
52695,1,,,202002
52350,6,4,2,202003
51205,2,1,1,202002
50441,7,4,3,202003
53115,11,10,1,202001
51340,2,,,202003
52090,5,4,1,202002
50441,2,1,1,202002
50785,5,2,3,202006
51920,1,1,,202004
51400,6,3,2,202006
noPort,764,507,216,202006
52720,17,6,10,202006
50650,1,,1,202002
51340,1,1,,202006
52230,2,1,1,202002
52350,5,4,,202002
52940,1,1,,202005
53100,1,1,,202001
50518,4,4,,202002
52230,2,2,,202006
50055,891,573,269,202001
