inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
50300,27,11,11,201910
50700,4,3,1,201911
50971,28,19,7,202000
50350,1,,1,201909
50600,1,1,,201911
52320,49,33,15,201908
51320,2,1,1,201911
50070,1,,1,201910
50971,39,27,11,201910
51820,4,4,,201909
52090,2,2,,201908
52320,32,23,9,202000
53133,7,5,2,201910
51254,3,2,1,201909
52235,2,,2,201911
52235,4,2,2,202000
50450,22,10,11,201907
50516,358,41,312,201911
50930,1,1,,201909
51400,9,5,3,201910
51770,9,9,,201910
52720,16,8,8,201909
53020,10,5,2,201910
53115,8,6,,202000
53100,2,2,,201907
50350,2,,2,201910
51200,5,1,3,201908
51220,20,6,14,201910
51910,8,6,2,202000
52220,2,2,,202000
52695,2,,2,201910
50935,119,58,58,201909
50971,31,16,11,201908
50730,29,21,5,201910
52065,16,9,6,201909
52350,1,1,,201911
52695,1,,,202000
53130,5,4,,201909
50650,2,1,1,201909
52040,2,2,,201911
52350,2,2,,202000
52510,2,,2,201908
noPort,1138,752,291,201908
51320,4,2,2,201910
52235,2,1,1,201909
noPort,1135,747,298,201909
51870,12,5,6,201909
50140,22,8,11,201909
50970,221,183,27,201909
50971,37,30,8,201911
52320,40,32,8,201909
51770,4,4,,202000
52295,9,7,2,201910
50380,31,17,12,201911
51260,9,,9,201908
51290,1,1,,201911
52235,2,1,1,201910
52510,1,,1,201910
50040,1,1,,201907
51130,125,85,33,201909
51865,2,,,201908
53000,1,1,,201911
50971,28,22,6,201909
51340,3,2,1,201907
51180,1,1,,202000
51803,14,13,1,201907
51810,2,2,,202000
50650,3,1,2,202000
50700,1,1,,202000
51205,1,,,202000
53000,1,1,,201909
51340,3,1,2,201911
51254,2,,1,201908
50805,4,1,3,201910
51010,5,2,3,201910
52260,5,1,4,201909
52295,1,1,,201907
50380,33,19,13,201907
50055,804,530,239,201910
50060,40,26,11,201907
51040,41,33,6,201909
50070,1,1,,201911
52523,1,,1,201907
50517,1,1,,201910
51815,22,20,2,202000
51855,1,1,,202000
51130,126,90,25,202000
52320,34,21,11,201911
50030,717,510,184,201908
50970,234,176,40,201910
52140,1,,1,202000
52260,5,1,3,201908
50970,217,174,36,201911
53010,3,3,,201910
51200,4,2,2,201909
52510,4,2,2,201911
50730,26,17,9,201911
51130,104,76,19,201908
51803,6,6,,202000
51070,1,,,201908
51280,6,3,3,201907
51830,6,3,1,201907
51820,3,2,,201907
51020,1,1,,201911
50140,20,11,9,201907
50935,115,52,59,202000
51040,41,29,11,201907
51845,36,21,10,201909
52220,4,2,2,201908
51040,38,27,9,201911
51484,2,,1,201908
51870,14,7,7,201907
51870,15,3,10,201910
51941,12,6,4,201911
52090,1,1,,201911
52680,1,,1,201910
53115,15,12,1,201911
50380,35,18,12,201908
51820,3,2,,201911
50055,788,516,231,201909
51504,2,,2,201910
50030,710,491,195,201907
51800,3,2,,201910
52220,2,1,,201907
52297,2,1,1,201910
50055,889,590,249,201908
51254,3,2,1,201911
51820,7,5,,201908
51910,8,4,3,201908
51920,3,1,1,201911
51350,1,1,,201909
52065,10,7,2,202000
52940,2,2,,201911
51815,44,40,3,201908
52297,1,,1,201907
50300,21,10,10,201909
50935,138,64,71,201911
52065,16,13,2,201911
51830,5,4,1,201909
50300,19,9,8,202000
50650,2,,2,201907
51180,3,2,1,201907
51820,9,4,1,201910
51845,57,28,17,201907
52940,1,1,,201910
52065,16,11,4,201910
53130,4,2,,201908
50935,116,57,56,201907
51320,3,1,2,201909
51845,51,27,21,201908
50060,56,23,31,201911
50340,2,,2,201907
51810,12,11,,201909
50040,1,1,,202000
51803,7,7,,201910
52240,15,12,2,201909
50140,16,9,7,201908
50441,6,3,2,201908
50441,5,4,,201909
51500,1,1,,201908
51830,4,3,1,202000
51850,1,1,,201908
52720,12,5,6,201910
51941,12,11,1,202000
52940,1,,,201907
