inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
51810,6,6,,201902
50730,29,19,9,201905
51810,7,7,,201903
50730,20,11,7,201900
52297,1,,1,201904
53020,7,3,2,201906
50805,8,6,2,201903
50340,4,1,3,201905
50935,124,54,62,201904
52140,1,,1,201902
53115,3,2,1,201900
53133,7,3,3,201904
50785,27,6,17,201904
51040,48,38,8,201904
51320,1,1,,201905
51400,8,3,4,201905
50300,15,3,11,201905
50510,1,1,,201905
51130,120,85,28,201903
51200,9,1,7,201901
51260,4,,4,201904
51890,8,6,,201903
50971,49,34,9,201904
50518,3,3,,201906
51815,44,42,2,201905
52065,11,5,5,201902
50140,24,15,8,201901
50516,268,18,243,201906
50518,1,1,,201904
51040,40,32,7,201903
51350,1,,1,201903
51870,12,3,9,201902
50030,641,417,190,201902
52240,8,7,1,201901
52260,8,4,4,201903
52260,7,2,5,201904
53115,10,7,1,201906
50040,1,1,,201902
50180,1,,,201903
50730,28,14,11,201901
51890,9,7,1,201904
50600,2,2,,201902
51254,4,4,,201901
51830,4,2,1,201906
51860,1,1,,201902
51910,3,2,1,201900
52040,1,,1,201903
52270,1,1,,201905
52320,18,12,5,201900
52320,31,18,11,201904
51220,33,15,18,201903
53010,8,5,1,201904
50510,2,1,,201901
50925,1,,1,201901
51220,20,11,9,201906
50140,23,14,8,201903
51820,5,4,1,201905
52320,32,20,10,201903
50450,16,6,10,201905
51100,27,6,20,201906
51350,1,,1,201906
52230,4,3,1,201901
52260,6,,5,201906
51830,2,1,1,201900
50030,418,227,168,201905
51280,4,4,,201902
52090,1,1,,201901
52235,1,,1,201906
50510,1,1,,201904
50516,381,26,335,201902
51280,7,4,3,201903
51400,8,5,2,201904
52560,1,1,,201903
50600,1,,1,201903
51941,15,9,7,201902
53115,10,9,1,201902
51340,1,1,,201901
51840,1,,1,201905
noPort,1080,735,282,201903
50070,1,1,,201905
51205,1,,1,201904
51260,5,,5,201905
50055,2,,,
50055,,2,,
50441,5,4,1,201900
53115,13,10,1,201903
50210,1,1,,201904
51260,8,1,7,201903
51504,1,,1,201902
52523,1,,1,201901
50340,3,1,2,201900
50930,1,1,,201903
50971,33,27,5,201903
50441,5,4,1,201903
50650,1,,1,201906
50300,19,11,5,201901
50140,17,8,8,201905
51010,5,4,1,201905
52297,1,,1,201905
50510,1,1,,201906
51845,49,29,16,201902
50516,291,27,253,201900
51330,1,,1,201902
50340,2,1,1,201904
51200,7,,7,201903
51254,3,2,1,201903
52065,16,9,8,201901
52090,1,,1,201902
50030,256,121,122,201906
51020,2,2,,201901
52235,4,2,2,201904
50790,2,1,1,201902
51260,9,2,4,201902
53010,1,1,,201900
53133,5,2,2,201905
51500,1,1,,201905
51820,7,7,,201904
52260,7,3,4,201905
50450,17,9,7,201902
51200,6,2,4,201905
52240,13,12,1,201903
52870,1,,1,201905
50450,14,8,5,201903
51280,8,4,4,201906
52220,4,2,2,201904
noPort,1085,728,285,201905
50785,16,3,13,201906
51260,11,1,9,201901
51504,3,1,2,201903
52720,9,7,2,201901
50518,3,3,,201905
51890,7,6,,201906
52940,1,,,201902
52940,1,,,201903
52695,1,,1,201902
51865,1,,,
51865,,1,,
50380,30,20,9,201906
51280,1,1,,201900
51803,9,9,,201904
50516,342,32,298,201903
50650,3,1,2,201905
51845,29,25,3,201900
51910,2,2,,201901
50700,2,,2,201903
51020,1,1,,201906
51484,1,,,201901
51770,8,8,,201903
52220,1,,1,201905
52230,1,1,,201906
51100,15,3,10,201904
noPort,1001,719,225,201904
51220,26,13,13,201904
51350,1,,1,201904
50055,741,494,206,201902
50180,1,,1,201906
50350,2,1,1,201901
50730,34,24,9,201903
50805,3,2,1,201900
52720,13,7,6,201902
52940,1,,,201905
50516,407,39,347,201901
50700,4,,3,201902
50700,3,1,2,201906
51890,11,4,1,201902
50380,24,19,3,201905
53133,3,2,1,201900
50510,2,1,,201902
51803,7,7,,201905
51820,3,2,,201900
51130,152,106,38,201905
52510,4,1,2,201906
52523,1,,1,201902
53130,4,3,,201902
50055,774,509,238,201905
50300,11,8,2,201900
51010,5,4,1,201901
51205,2,1,1,201903
50055,778,515,225,201903
50805,14,11,3,201905
51770,7,5,1,201902
50650,1,1,,201900
53130,6,5,2,201901
52230,3,2,,201904
52695,2,,2,201904
50600,1,1,,201900
50650,1,,1,201901
51180,2,2,,201903
52240,12,11,,201902
52510,3,3,,201904
50971,34,31,2,201902
50040,1,1,,201901
52235,2,1,1,201901
50030,602,408,166,201900
50380,28,19,9,201904
51070,1,,1,201901
52090,1,,1,201905
50971,37,32,3,201905
51870,17,5,11,201906
51941,18,11,4,201901
52695,1,,1,201906
50340,2,,,201901
51205,2,,1,201901
51910,5,1,3,201905
51800,1,1,,201905
50932,1,1,,201902
50971,24,20,3,201906
53010,7,6,,201903
51400,6,5,1,201901
51800,2,1,,201904
51830,3,2,1,201902
50380,19,10,8,201902
51320,2,1,1,201903
51803,11,10,1,201906
52220,4,3,1,201903
50440,1,1,,201900
50441,3,2,1,201904
51340,3,2,,201903
51865,1,1,,201904
53010,5,4,,201901
50650,1,1,,201903
50935,113,55,55,201903
51815,31,24,6,201902
51865,1,1,,201903
52240,3,2,1,201900
51200,5,,5,201906
51840,2,1,1,201906
51941,11,7,2,201904
52695,1,,1,201900
52720,14,4,9,201906
50060,34,17,15,201902
50970,206,166,26,201903
51010,2,1,,201900
51020,1,1,,201904
51254,1,1,,201900
51320,4,3,1,201904
52510,4,3,1,201903
52295,3,2,1,201904
50730,33,22,8,201904
52065,13,7,6,201904
53130,4,2,,201906
50932,1,1,,201903
51200,4,,3,201900
51400,9,5,4,201902
52065,14,8,6,201905
52230,1,1,,201905
50970,104,89,9,201900
52040,1,,1,201906
51400,4,2,2,201906
50805,6,4,2,201906
51770,10,6,3,201905
52260,7,1,6,201902
50070,3,3,,201901
51320,2,2,,201901
51803,14,12,,201903
51860,2,,2,201903
50970,183,149,26,201902
51130,137,99,30,201904
51254,2,2,,201906
52220,1,1,,201900
52230,2,1,1,201903
51020,1,,1,201902
50350,1,,1,201906
52350,4,3,2,201905
50300,8,6,2,201903
50350,3,,3,201903
50730,24,16,5,201902
51340,2,1,1,201906
52350,5,4,1,201903
53020,3,2,1,201900
50070,1,1,,201902
50930,2,1,,201901
51100,17,6,11,201905
51855,1,1,,201900
51920,3,1,1,201902
53020,8,8,,201905
noPort,1205,817,310,201901
51220,5,2,3,201900
51220,21,11,10,201902
51340,2,2,,201902
52320,40,34,4,201905
53010,3,2,,201906
51504,1,1,,201900
53130,1,,,201905
51504,1,,,201904
51504,1,,1,201905
52295,4,4,,201900
50140,14,9,5,201906
50518,4,4,,201901
50600,3,2,,201901
52295,2,1,1,201903
52440,1,,,201904
50055,841,555,242,201901
50140,19,10,8,201904
50518,5,4,1,201902
52270,2,2,,201901
50060,63,34,28,201905
50805,10,7,2,201904
53130,4,3,,201903
50971,25,16,6,201900
51100,20,4,13,201901
51920,3,1,1,201906
52680,2,,2,201900
51350,1,,1,201902
52065,9,8,1,201906
52040,1,,1,201901
51850,1,1,,201902
52240,12,10,1,201904
51254,2,2,,201905
52695,1,,1,201903
50970,240,199,29,201904
51200,8,,7,201902
51810,4,4,,201906
50517,1,,1,201900
50730,18,12,5,201906
50970,182,151,25,201906
51180,1,1,,201902
50055,808,535,234,201904
51280,5,2,2,201901
51820,5,5,,201902
52220,2,1,1,201902
52270,1,1,,201902
50055,625,381,207,201906
50441,3,3,,201906
50517,2,,2,201905
50932,1,1,,201904
51010,6,2,4,201904
52350,8,5,3,201901
51040,40,30,6,201901
51941,18,10,5,201903
52220,4,3,1,201901
52295,4,3,1,201905
52320,31,24,6,201901
50350,5,1,4,201902
53000,1,1,,201905
51400,7,5,2,201903
51800,1,1,,201903
53020,7,3,2,201901
51254,4,3,,201902
50340,4,1,1,201903
50510,2,1,,201903
50700,1,,1,201904
50740,1,1,,201903
50785,28,6,17,201903
51220,39,17,22,201905
53100,5,3,1,201905
50441,7,6,1,201901
50935,137,70,63,201901
51130,97,68,24,201906
51180,1,1,,201900
51100,23,7,14,201903
51890,8,6,1,201901
51910,6,3,3,201903
52040,1,1,,201902
52870,1,1,,201903
51770,13,11,1,201901
53115,11,8,1,201905
53133,7,4,2,201901
50790,1,1,,201901
51870,20,9,10,201905
50785,25,7,18,201905
51870,20,8,12,201904
53020,6,3,2,201904
50140,18,12,6,201902
51010,5,4,1,201902
51770,11,10,,201904
51803,21,21,,201900
51870,12,7,5,201900
50210,1,,1,201902
51030,1,1,,201903
51280,7,4,3,201905
51320,3,2,1,201902
51840,1,,1,201902
52720,12,4,8,201905
51040,33,26,6,201906
51820,6,3,2,201906
51845,40,20,17,201905
52720,8,3,5,201900
50441,2,2,,201902
50785,28,2,26,201900
50805,4,2,2,201901
51890,12,9,3,201905
52350,4,2,2,201902
50210,2,1,1,201903
50516,346,32,305,201904
52040,1,,1,201900
50300,15,11,3,201904
50450,14,11,2,201901
50700,1,,1,201900
51070,1,1,,201905
51920,1,,1,201901
52940,1,,,201901
53010,5,4,,201905
53100,1,1,,201904
53115,17,14,1,201904
50785,19,5,14,201901
51330,1,,1,201904
51770,6,5,1,201906
52230,2,1,1,201900
52297,1,,1,201900
52350,2,1,1,201904
50450,17,7,9,201900
52260,2,,2,201900
53130,2,,1,201900
51815,30,28,,201906
noPort,782,522,218,201906
50970,211,172,26,201901
51340,1,1,,201905
52295,2,2,,201902
51180,1,1,,201906
50040,1,1,,201904
51815,49,41,5,201903
50210,1,1,,201901
50450,11,7,4,201904
50518,3,3,,201903
50700,1,,1,201901
51500,1,1,,201901
51941,9,5,2,201900
50785,28,6,20,201902
51330,2,1,1,201903
50340,1,,,201902
50650,4,,4,201904
51910,3,2,1,201906
52870,1,,,201902
53133,6,4,2,201902
50610,1,,1,201902
51100,13,2,10,201900
51130,118,74,37,201902
51815,40,34,5,201904
51330,1,,1,201905
53130,3,3,,201904
53010,4,2,,201902
50030,772,525,205,201901
51803,16,12,2,201902
51810,12,12,,201900
51815,43,36,3,201901
52510,1,1,,201905
51920,1,1,,201903
