inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
52720,14,3,7,201903
50060,46,25,17,201904
50120,1,,1,201901
51941,10,5,3,201906
52440,1,1,,201903
51130,59,45,12,201900
53115,7,4,1,201901
50060,48,20,27,201906
50350,1,,1,201904
51180,1,1,,201901
51205,1,1,,201900
50441,3,2,,201905
50650,2,,2,201902
51010,3,2,1,201906
51910,3,1,1,201902
51910,3,2,1,201904
50300,11,4,4,201906
50380,21,10,10,201900
51810,12,10,,201901
51815,58,50,6,201900
52235,1,,1,201900
53133,5,3,1,201906
50935,106,63,40,201902
50140,20,12,6,201900
51770,11,10,,201900
52320,34,23,11,201902
53020,7,3,3,201902
51254,4,4,,201904
51260,4,,3,201900
52240,10,9,1,201906
50300,18,9,7,201902
50510,1,1,,201900
51820,5,4,,201901
51840,1,,1,201900
53020,7,1,4,201903
50040,1,1,,201905
51890,3,3,,201900
52297,1,,1,201901
noPort,863,605,195,201900
50030,498,299,183,201904
50935,32,16,14,201900
52350,2,1,1,201906
50935,115,61,52,201905
51040,40,27,7,201905
51070,1,1,,201904
51280,4,2,2,201904
51870,19,3,14,201901
50450,10,4,5,201906
50030,623,416,178,201903
50055,692,472,184,201900
50350,3,2,1,201905
50517,3,2,1,201903
50930,1,1,,201900
51205,1,1,,201906
50970,199,162,28,201905
51400,3,3,,201900
52065,18,7,8,201903
53133,7,4,2,201903
51220,27,14,13,201901
51830,2,1,,201903
50600,1,,1,201904
52720,16,7,8,201904
51200,2,1,1,201904
51350,1,,,201900
51830,5,3,2,201904
52940,1,1,,201906
50971,38,30,6,201901
52510,4,2,2,201902
51205,1,,,201902
51340,2,1,1,201904
52260,11,3,7,201901
50935,74,29,43,201906
51850,3,3,,201900
51920,2,1,,201904
52240,14,13,,201905
50120,1,,,201904
51040,38,31,4,201902
51810,7,6,1,201904
50517,4,3,1,201901
51845,39,21,17,201903
52320,29,20,9,201906
51870,19,10,9,201903
52235,2,1,1,201903
50060,25,11,12,201900
52065,2,,2,201900
52440,1,,1,201906
50517,3,1,2,201902
51100,12,1,11,201902
50040,1,,1,201906
52870,2,,1,201906
50060,32,19,12,201901
50516,338,34,290,201905
51010,3,3,,201903
51803,16,13,1,201901
52297,3,,3,201902
52297,1,,1,201906
50380,33,23,8,201903
51830,1,1,,201905
51260,8,,8,201906
noPort,1012,685,262,201902
51040,10,8,1,201900
52350,1,1,,201900
50060,41,25,14,201903
51845,31,13,13,201906
52230,2,1,1,201902
51180,3,2,,201904
51830,5,5,,201901
52040,1,,1,201904
52090,1,1,,201904
50700,4,2,2,201905
51810,6,6,,201905
51820,3,2,1,201903
51845,40,21,15,201904
52295,5,5,,201901
50805,6,5,1,201902
51130,124,88,23,201901
50380,31,21,9,201901
51845,58,34,20,201901
51941,16,10,5,201905
51180,3,3,,201905
