inPortNo,numVisit,numVisitCargo,numVisitTanker,period
53020,46,12,16,202009
52760,5,2,1,202100
52695,10,2,4,202010
50231,8,0,6,202100
51120,1,0,0,202100
50517,23,9,3,202007
53020,45,6,12,202100
51330,6,2,4,202010
50790,10,1,7,202008
51830,54,18,6,202011
51803,34,32,1,202009
51920,15,7,5,202007
52660,5,2,0,202010
52560,1,0,0,202008
50030,4589,1142,3162,202007
53130,12,8,3,202010
52560,4,0,0,202100
50140,125,57,51,202011
51890,87,38,15,202008
51910,29,18,7,202009
51502,1,0,0,202010
51780,1,0,0,202007
50060,528,137,139,202009
52720,67,14,21,202009
51484,5,1,0,202007
50330,6,0,0,202007
51070,15,6,7,202100
51400,25,13,8,202010
51010,21,9,5,202010
52295,16,4,6,202010
50380,123,63,44,202008
51860,3,1,2,202007
51320,9,5,4,202010
50350,114,51,7,202011
52320,146,87,35,202010
50730,76,48,25,202007
52235,4,3,1,202100
50140,154,66,56,202010
51020,3,2,0,202008
52090,8,4,1,202010
53133,15,7,4,202010
50100,6,4,0,202100
53010,23,18,3,202007
51120,1,0,0,202010
50516,2977,312,2315,202008
51855,16,5,6,202010
50120,20,11,5,202010
53100,7,2,2,202100
52320,151,89,29,202009
50785,104,13,83,202008
50210,8,6,1,202011
50700,6,2,4,202011
52240,132,42,8,202011
51803,25,23,1,202011
50060,763,116,282,202010
50785,103,11,82,202011
51200,56,2,47,202011
50070,6,6,0,202008
52295,15,3,7,202100
52270,18,4,3,202009
51330,22,3,9,202007
51130,637,383,91,202008
50971,456,252,66,202010
52297,8,0,8,202010
51850,4,2,0,202009
51890,82,40,19,202011
53020,50,13,16,202010
52940,16,9,3,202007
52140,1,1,0,202011
51100,119,33,66,202008
51030,2,1,1,202007
52270,12,4,3,202011
53130,12,6,2,202011
50650,6,2,1,202007
52440,2,0,2,202100
52235,6,2,1,202010
52040,4,1,1,202010
51040,88,67,13,202100
51280,65,25,9,202008
51920,15,6,6,202100
51830,85,28,7,202007
50650,4,1,2,202100
51260,159,2,27,202100
50040,26,2,2,202008
51205,22,11,4,202011
52870,12,2,4,202010
52090,8,4,4,202008
51830,61,20,8,202010
50925,29,14,11,202008
53010,20,8,4,202011
52040,5,2,3,202007
51260,93,0,28,202007
51200,58,7,40,202008
51010,23,12,9,202008
53100,13,3,1,202008
51850,5,1,2,202010
52260,39,7,24,202010
50231,6,1,3,202011
53010,19,10,4,202100
50650,13,8,3,202008
53000,1,1,0,202011
52560,1,1,0,202009
51840,9,3,2,202100
52440,4,1,3,202008
50350,100,27,27,202009
51815,588,109,18,202008
51845,216,94,86,202007
51920,18,8,7,202009
51040,85,64,14,202008
52510,16,5,7,202010
52440,4,2,2,202007
52870,11,2,2,202100
52297,9,0,9,202008
50970,1023,404,77,202007
50300,95,39,44,202011
50040,21,4,2,202009
51910,24,11,7,202007
52090,4,2,1,202100
51840,15,3,2,202010
52523,8,0,5,202007
51501,4,0,0,202009
