inPortNo,numVisit,numVisitCargo,numVisitTanker,period
53115,28,21,2,201901
51130,478,328,102,201900
51865,13,12,0,201902
52480,1,0,0,201900
51830,59,12,13,201903
52140,1,0,1,201903
51830,49,8,6,201904
52940,5,1,2,201906
51200,52,3,44,201904
51350,5,1,0,201900
50030,3566,683,2082,201904
50935,269,87,134,201900
52350,9,6,3,201906
50140,109,36,52,201906
52295,11,7,4,201903
50518,14,8,5,201901
52440,5,1,2,201904
50600,9,7,0,201901
50030,4989,1102,2777,201905
52090,3,2,1,201901
51070,14,7,3,201902
51280,30,9,12,201902
52235,6,2,2,201906
50380,103,54,39,201905
50925,13,4,6,201900
53133,11,5,5,201900
51800,8,3,0,201902
50045,5,2,2,201904
52270,7,2,1,201901
50045,7,2,2,201905
50250,3,2,0,201902
50518,7,5,2,201902
50250,8,3,1,201901
51220,60,14,46,201906
50790,12,3,9,201905
50925,17,7,4,201901
50510,5,2,0,201901
51010,1,1,0,
51820,39,12,2,201905
52320,156,69,57,201903
50925,19,5,6,201904
50140,181,69,86,201903
51120,2,0,1,201906
51320,4,1,3,201906
52560,1,0,1,201906
51803,44,42,2,201905
52660,2,0,0,201906
51820,35,9,2,201900
50510,8,2,2,201902
52220,17,9,4,201903
50231,13,0,12,201905
52270,7,2,2,201904
51130,484,342,87,201901
50610,4,3,0,201906
51500,7,1,0,201905
50060,622,141,72,201904
51941,38,19,12,201906
52440,5,2,3,201903
51860,2,0,2,201906
50120,9,7,2,201901
52760,1,0,1,201905
50971,335,239,64,201901
52510,5,2,3,201902
50045,5,3,2,201903
52695,11,0,8,201903
51254,6,6,0,201905
53050,7,0,0,201902
51320,4,3,1,201900
50380,129,78,38,201903
51820,32,10,1,201901
50300,98,39,44,201902
51840,9,1,5,201900
53020,55,10,15,201903
50180,4,1,3,201902
50510,7,3,4,201900
50970,1701,396,70,201900
50045,4,0,1,201902
52040,22,4,16,201906
51502,9,0,1,201906
52760,11,0,1,201902
50060,658,170,122,201905
50805,28,15,8,201904
53130,4,2,0,201903
50100,7,1,2,201903
51850,5,2,1,201902
50790,15,3,9,201906
52320,196,72,71,201901
51941,46,28,13,201903
52220,12,4,1,201901
51500,4,2,0,201903
52090,2,1,1,201903
52295,7,4,3,201905
50970,633,375,64,201905
53133,16,7,7,201903
52065,54,25,23,201903
51400,21,10,6,201900
50935,307,116,159,201901
51130,343,230,82,201906
50441,34,12,16,201901
50652,1,1,0,201901
51180,5,2,0,201900
51780,1,0,0,201901
52720,46,21,19,201903
50055,6171,1324,3045,201902
50805,30,12,16,201900
50730,92,64,20,201903
50350,58,10,14,201901
51855,12,5,3,201902
52720,50,16,30,201902
51860,2,0,2,201900
50180,3,0,1,201906
52940,5,0,2,201905
52295,5,2,3,201906
50120,8,5,2,201905
53130,6,4,1,201905
51504,22,5,3,201900
52523,5,0,2,201903
52680,1,0,1,201906
50140,149,54,67,201905
51010,19,7,6,201905
52297,7,0,7,201905
51501,4,3,0,201902
52320,135,96,26,201905
51220,75,23,48,201900
51220,79,18,53,201902
53010,12,4,2,201906
51502,1,0,1,201901
51340,8,4,2,201902
50070,5,4,0,201904
53010,22,10,4,201900
53133,16,6,9,201905
50790,14,3,10,201902
51260,94,5,35,201902
50517,13,4,4,201904
50785,118,16,98,201901
51770,15,10,4,201906
52350,14,9,4,201904
52230,8,7,1,201900
51330,4,0,4,201904
52297,3,0,3,201900
50730,89,51,31,201901
51890,93,47,9,201904
50040,11,3,3,201902
51840,17,3,7,201901
50180,4,1,0,201903
50030,3901,830,2250,201903
50055,5738,1273,3012,201900
50517,26,12,6,201903
50930,46,34,5,201900
50350,29,4,11,201905
51205,12,1,9,201906
51865,10,9,0,201906
50610,5,2,0,201900
51941,52,31,15,201900
50210,16,3,9,201901
50210,9,4,4,201906
51501,6,2,0,201904
50450,67,35,26,201904
52660,1,0,0,201903
50518,3,3,0,201903
50120,10,5,2,201903
50700,3,0,3,201901
51500,7,2,1,201901
52240,32,20,6,201904
50250,2,1,0,201903
51810,32,30,1,201901
51815,2691,141,20,201900
50380,133,65,54,201900
50300,82,27,38,201906
53133,13,5,6,201906
51850,7,2,3,201903
52235,4,4,0,201900
50350,30,6,8,201906
52350,14,6,8,201905
50790,14,2,9,201903
50516,3042,251,2130,201901
51020,4,3,1,201900
52760,3,0,1,201903
50935,180,62,103,201906
52240,43,30,7,201905
51920,10,4,2,201904
52220,25,4,5,201906
51850,8,5,2,201900
50030,3791,491,2408,201906
51020,2,2,0,201901
50030,3779,805,2094,201901
51810,24,23,1,201900
51815,4113,141,12,201901
51803,41,38,1,201902
53100,8,3,0,201900
51845,210,89,90,201904
50350,40,2,11,201900
51820,58,20,5,201903
51810,19,19,0,201905
50700,4,1,3,201905
52295,8,5,1,201901
53115,28,21,2,201904
51910,21,11,5,201902
51910,13,6,5,201904
51010,24,10,6,201906
50441,27,12,12,201905
50650,17,4,3,201902
50045,4,1,0,201906
50970,4536,433,86,201901
52295,9,4,2,201902
51500,3,1,0,201902
51340,3,3,0,201905
50070,5,4,0,201903
53010,24,12,3,201903
50971,262,157,77,201906
50932,11,4,4,201902
50925,9,3,3,201905
53020,37,7,10,201902
52320,141,69,44,201902
50140,156,60,76,201900
51855,14,5,3,201901
51770,31,22,3,201900
51850,3,1,2,201906
51810,36,33,1,201903
50730,65,39,20,201905
51850,5,4,1,201905
51070,13,3,8,201906
51810,29,27,2,201902
50518,7,4,3,201900
50600,5,2,1,201906
51180,5,3,2,201905
52660,1,0,0,201905
51870,80,43,33,201903
52235,3,2,1,201903
51500,5,1,0,201904
50180,3,1,0,201904
52760,1,1,0,201906
51100,108,31,56,201901
50971,300,192,74,201900
50340,62,21,11,201906
51920,11,5,3,201906
50100,2,1,0,201900
50070,4,2,1,201900
52680,1,0,1,201900
52350,13,8,2,201900
51040,91,60,17,201900
50930,19,7,7,201902
50790,12,1,11,201900
53100,7,1,3,201902
51020,6,5,1,201902
51840,17,0,8,201905
51340,3,2,1,201901
51770,38,29,4,201903
52220,18,3,9,201905
52230,6,2,3,201906
50231,11,1,10,201903
52235,6,3,2,201904
51340,4,0,2,201900
52870,6,0,1,201906
52523,4,0,1,201904
50040,10,0,5,201906
51030,1,1,0,201904
50380,104,51,45,201906
51803,34,33,1,201904
51280,23,5,8,201900
51484,2,0,0,201904
51830,50,12,5,201905
50610,5,0,1,201905
52320,90,51,32,201906
51845,242,91,109,201903
53050,10,4,3,201900
50517,20,8,9,201901
50350,51,3,14,201902
53000,1,1,0,201905
52480,3,1,0,201901
51502,3,1,0,201902
52270,5,2,1,201906
52760,6,0,0,201900
50250,5,2,0,201904
51070,5,3,0,201900
51290,2,2,0,201902
51130,535,383,98,201903
51890,71,38,11,201903
50300,105,46,42,201905
51260,117,0,37,201904
51200,70,14,49,201901
51840,15,1,10,201903
50510,4,2,1,201905
52660,3,1,1,201901
51770,25,15,6,201905
52260,43,6,21,201902
51815,281,117,13,201905
52065,36,17,16,201902
51860,3,1,1,201905
50518,7,4,3,201906
50040,8,2,3,201904
51815,4029,130,17,201903
50932,10,3,4,201906
50340,198,12,11,201900
50971,388,286,76,201903
51290,3,0,0,201903
50930,20,7,1,201903
51501,3,1,0,201903
52295,14,7,3,201904
50100,2,0,0,201901
52870,12,1,2,201901
51205,8,2,4,201902
51340,4,3,1,201904
52870,9,1,2,201900
52260,37,8,22,201901
50040,4,1,3,201903
53000,1,1,0,201906
51800,5,2,0,201905
50805,36,14,18,201906
51030,1,0,1,201901
50210,12,3,9,201900
51500,4,1,0,201906
51200,60,1,54,201900
50932,13,7,2,201903
50100,2,1,0,201906
50610,4,0,0,201901
50250,1,0,0,201900
50610,1,1,0,201903
52090,3,2,1,201906
50045,3,1,1,201901
51504,19,5,4,201901
50210,6,4,1,201905
52695,8,0,3,201904
52230,2,1,1,201904
51260,173,3,70,201905
51501,3,1,0,201900
50517,22,11,5,201902
51100,107,26,60,201902
50070,5,3,0,201906
50600,9,4,2,201904
52720,47,12,28,201904
51860,4,0,0,201901
53000,1,1,0,201900
50231,7,0,7,201906
51855,17,5,7,201905
51100,133,33,58,201903
52660,3,0,0,201900
51890,71,32,6,201901
52040,2,2,0,201902
52870,10,1,2,201903
51910,19,13,5,201903
50925,11,5,4,201906
50330,1,0,0,201901
51290,4,2,0,201904
51070,15,8,1,201903
50140,162,69,72,201902
51770,25,19,4,201904
51870,40,16,22,201900
51803,58,53,1,201900
51010,19,12,6,201902
50120,12,7,1,201906
53115,21,17,1,201905
51770,30,23,6,201901
53133,13,6,6,201901
50730,97,54,31,201904
52065,87,23,60,201904
51120,3,0,0,201904
53130,4,3,0,201906
51502,4,0,0,201904
52065,55,13,36,201906
51350,7,0,3,201902
52240,39,23,9,201902
51180,8,2,1,201903
50650,8,1,2,201901
52510,5,1,4,201900
52510,11,5,5,201904
51501,6,1,1,201901
50600,8,5,0,201900
51820,53,20,5,201904
52260,40,10,20,201905
51254,12,9,1,201902
52940,12,5,2,201904
53010,20,8,1,201902
50935,288,103,150,201903
51815,3898,126,12,201902
50650,9,4,4,201903
51865,13,13,0,201903
52240,34,19,8,201900
52680,2,0,0,201905
53010,21,12,1,201901
50441,24,6,10,201904
51340,6,4,1,201903
51865,8,7,0,201904
50440,5,1,4,201900
50517,10,2,2,201906
51400,14,3,6,201906
51815,219,37,11,201906
51484,5,0,3,201901
51020,3,2,0,201906
50700,5,0,4,201903
50030,3414,643,2020,201900
50380,123,76,40,201904
51070,6,3,1,201901
52090,5,2,3,201905
51890,92,53,10,201905
50785,109,8,98,201900
52350,17,10,7,201902
51865,12,11,1,201905
50441,15,5,4,201902
50805,21,9,11,201901
50971,379,264,53,201904
52090,8,4,4,201904
51830,38,9,7,201901
52040,35,3,32,201904
51180,9,5,0,201904
52235,2,1,1,201905
50231,12,0,11,201901
50450,71,33,26,201902
52240,53,34,10,201903
51200,54,3,44,201905
52870,8,0,1,201905
50785,126,24,99,201902
51330,5,0,4,201903
51890,91,38,8,201902
50700,3,1,2,201902
50700,3,1,2,201906
53130,9,7,1,201901
52270,11,3,2,201903
50650,10,4,1,201900
50180,1,0,0,201901
50805,33,17,13,201903
52560,2,2,0,201904
51030,2,2,0,201906
50380,129,71,43,201901
51845,215,98,86,201901
51941,54,37,14,201905
52680,1,0,0,201902
50970,4442,430,71,201903
50060,572,96,45,201902
51320,7,3,4,201904
50440,5,1,4,201904
51254,11,8,3,201900
52510,14,5,5,201903
51010,15,8,4,201900
51020,2,2,0,201904
50450,53,26,22,201903
51280,60,10,13,201906
52220,18,6,7,201904
51290,2,0,0,201906
50231,3,0,3,201900
51890,73,43,9,201900
52297,7,0,6,201901
52560,1,1,0,201900
52660,3,0,1,201902
50040,5,1,2,201905
50516,3401,300,1959,201905
