inPortNo,numVisit,numVisitCargo,numVisitTanker,period
51770,55,37,4,201907
51830,71,15,6,201910
50250,8,6,0,201910
50060,647,145,109,201911
51500,23,13,0,202000
50805,34,17,11,202000
50450,50,22,18,202000
53010,22,15,2,201907
51910,24,14,6,201909
52040,4,1,2,201909
51860,2,2,0,201909
50120,32,12,8,202000
53000,1,0,0,201908
51860,6,2,3,202000
51484,4,1,2,202000
50441,27,12,11,201907
52090,7,3,4,202000
52870,7,0,0,201909
52090,3,0,3,201909
51130,505,363,95,201907
51010,27,8,10,201909
51205,12,1,4,201907
51320,5,2,2,201907
51200,52,11,35,201907
53130,10,6,0,201910
51500,5,1,0,201907
50971,391,256,79,201911
50970,656,409,70,201909
50140,156,72,59,201909
51855,17,5,6,201908
50970,638,412,62,201907
50785,139,18,114,201908
51770,14,9,2,202000
52295,16,11,5,201910
50517,33,9,12,201908
51803,24,23,1,201909
52523,29,0,3,201909
52680,7,4,0,201911
50045,7,2,1,201908
51020,1,0,1,201910
50100,2,0,0,201910
51130,509,352,91,201909
51504,35,13,9,201911
51865,15,15,0,201908
50040,11,2,5,201907
51330,3,1,2,201908
53000,1,1,0,201911
50785,127,15,107,201911
51890,94,46,12,201908
51865,15,13,0,201910
52870,11,1,1,202000
51502,3,0,0,201908
50120,13,9,1,201910
50180,3,1,2,201909
50231,10,0,7,201907
52040,6,4,2,201910
50971,350,245,70,201909
51340,3,2,1,201907
50210,6,1,5,201909
51484,2,0,1,201909
51400,25,8,11,201908
51350,7,1,1,201910
50805,34,16,16,201909
51260,129,4,40,202000
52660,5,0,2,201907
52510,15,5,6,202000
51010,32,9,4,201911
53130,6,2,2,202000
52660,1,1,0,201910
52230,3,2,1,201909
51340,10,5,2,201909
50517,36,15,8,201909
50930,23,9,6,201910
52870,7,0,0,201908
50045,8,2,4,201907
52680,2,2,0,201908
51850,6,3,1,201907
50070,7,4,2,201911
50970,599,410,85,201910
50030,3768,755,2174,201908
52260,37,5,22,201908
50250,6,4,0,201909
50180,1,0,0,201911
52140,3,0,3,202000
50440,2,1,1,202000
52523,24,0,1,201908
50970,706,446,105,201911
53010,19,11,3,201910
50516,3188,540,2070,202000
51840,33,3,9,201907
51290,3,0,0,201908
51820,39,16,3,201907
51030,3,1,1,201910
52760,2,2,0,201910
50935,371,171,159,202000
51040,104,66,19,201907
51504,17,8,4,201907
50140,171,64,77,201907
51845,183,68,79,201909
52220,18,4,5,201908
51040,100,66,21,201911
51205,8,3,3,201910
51484,4,2,2,201908
53100,5,0,4,201910
50932,22,4,9,201907
52870,6,0,0,201907
51120,1,0,0,201911
50140,179,76,75,201910
51820,24,10,2,202000
51865,15,14,1,201909
53115,36,29,2,201909
50441,26,10,10,201911
52760,19,3,3,202000
51484,3,0,1,201910
51260,152,2,50,201910
53133,19,9,7,201908
51330,12,1,10,202000
51501,7,0,0,201907
50055,6437,1414,3258,201908
51820,38,13,5,201908
51920,18,7,7,201911
51910,23,14,7,201908
51254,11,9,1,201911
51870,80,33,29,202000
53010,27,12,10,202000
50441,22,7,9,201910
51330,7,2,5,201911
50510,22,3,1,201911
50935,556,171,207,201911
51120,2,0,0,201910
52065,591,232,28,201911
51502,3,0,1,201907
51330,4,1,0,201907
52065,46,25,17,201910
50932,17,5,5,201908
50790,16,0,6,201910
53130,7,5,0,201908
51810,32,31,0,201909
50340,46,9,6,201907
51800,3,1,0,202000
50440,1,0,1,201910
51840,25,0,10,201908
52695,7,0,3,201907
51504,50,17,9,202000
50380,144,71,54,201909
51350,2,2,0,202000
51030,1,0,1,201907
50790,13,3,3,202000
51504,19,6,4,201908
51070,15,5,8,202000
51840,45,9,16,202000
51020,2,2,0,201908
50210,17,5,8,201910
50210,8,3,4,201911
50971,384,255,62,201907
50120,15,9,1,201909
50517,15,6,5,201907
52720,64,10,31,201911
52240,48,27,12,202000
53020,49,10,12,202000
51502,6,1,1,201909
52235,5,4,1,201908
52350,17,10,7,201910
51350,4,2,0,201907
50120,18,10,3,201911
50925,12,6,3,201909
51890,99,50,13,201911
51340,8,7,1,202000
50210,8,3,3,201907
50350,151,62,47,201911
51070,15,7,2,201910
53100,7,1,2,201909
52297,15,2,7,201911
51010,21,9,3,201907
51120,2,0,1,201907
50650,16,11,5,201908
50650,5,4,1,201910
50610,2,1,0,201909
50030,4082,901,2448,201910
52065,57,22,21,201907
53020,50,9,13,201911
51910,26,13,9,201911
51070,6,4,1,201907
52230,7,2,3,202000
51920,23,12,8,201910
53020,35,9,13,201908
51890,100,53,14,201909
51780,1,0,0,202000
51040,108,67,21,201908
51865,12,12,0,201907
51780,5,0,0,201908
50060,509,163,195,201909
51920,23,13,2,201907
50070,8,6,0,201907
52350,12,8,3,201907
52040,7,1,5,202000
52260,38,9,21,201911
52295,13,4,7,202000
53115,45,36,5,201910
52230,7,5,2,201908
50140,188,58,78,202000
51830,77,12,11,201911
50231,11,0,7,201908
52270,9,3,1,201910
52350,9,6,3,201908
52040,12,2,6,201907
50040,19,10,4,201910
50040,7,4,1,201909
52523,18,0,2,201910
50231,8,0,6,201910
52230,4,1,3,201910
50350,42,3,13,201908
51502,8,3,2,202000
51400,26,8,16,201909
51800,7,6,0,201907
50932,12,4,3,201909
50932,15,5,3,201910
50516,2752,259,2103,201910
51920,25,12,8,201908
51180,4,4,0,201910
51501,5,1,2,201910
52440,1,0,0,201908
51100,121,45,59,201909
53000,2,1,0,201907
52140,2,1,1,201907
50930,97,66,26,202000
51920,15,7,4,202000
52297,8,0,6,201909
52760,4,2,0,201911
51870,76,27,28,201911
52235,8,5,2,201907
50790,11,3,5,201908
52480,1,1,0,201910
50450,62,32,23,201909
50970,529,320,88,202000
52230,3,1,1,201911
51340,6,4,2,201908
51800,4,3,0,201908
51254,6,4,2,201907
51020,4,4,0,201907
50790,21,4,11,201911
51810,28,27,1,201907
52260,34,5,20,201907
51780,9,0,0,201907
51320,9,3,5,201908
51100,117,36,51,202000
53133,19,6,10,201909
53100,3,1,0,201911
53100,3,2,0,201908
52220,10,5,0,201909
50925,25,12,9,201911
52320,147,95,41,201908
50350,34,4,15,201909
50600,7,5,1,201911
50516,3753,395,2333,201911
51770,32,25,3,201910
50450,62,31,26,201907
51860,6,1,4,201911
53020,49,14,15,201910
52720,62,13,34,201909
53115,36,25,5,202000
50930,16,8,5,201909
51400,23,7,10,201910
50180,3,0,0,202000
52040,10,4,3,201911
52350,22,10,4,202000
50650,11,10,1,201909
52510,17,3,9,201908
51350,4,2,0,201908
52235,8,3,4,201909
51500,5,1,0,201910
51320,11,4,6,201910
52320,156,108,37,201909
50932,83,58,21,202000
52270,7,2,4,201911
51484,3,0,1,201907
51260,163,0,51,201908
50380,148,73,54,201911
52510,13,2,5,201910
52235,6,4,2,201910
51290,2,2,0,201911
53050,7,0,1,201908
51890,114,50,7,201910
51280,79,28,12,201911
51941,66,26,13,201908
51803,56,52,4,201907
51180,6,3,0,202000
51810,18,17,0,202000
50180,3,0,2,201910
53050,19,1,2,201911
51254,9,5,3,201908
50045,4,2,0,201909
52140,1,0,1,201910
50518,7,6,1,201907
50380,141,87,39,201907
52695,9,1,4,201909
51850,5,2,1,201911
51030,4,1,1,201911
51220,83,21,60,201909
53010,24,12,6,201911
51815,78,58,11,202000
51855,32,12,11,202000
50517,25,7,9,201910
51845,197,54,93,202000
52240,40,31,6,201908
51840,26,2,9,201911
52220,13,5,2,201910
51860,6,2,1,201908
53000,2,1,0,201910
52295,17,5,9,201911
50040,14,4,4,201911
52270,9,4,3,201909
