inPortNo,numVisit,numVisitCargo,numVisitTanker,period
51815,447,108,9,202004
52040,11,0,3,202004
50932,40,23,11,202003
53115,36,23,2,202002
51850,8,2,2,202002
50231,10,0,8,202006
52230,6,3,3,202004
50330,1,0,0,202004
51850,7,1,3,202006
52695,9,0,5,202006
50805,19,7,10,202005
51890,116,35,21,202004
50120,11,7,2,202003
52240,36,19,12,202006
51180,6,4,1,202006
51030,3,1,0,202001
51815,1293,124,17,202002
51040,98,65,20,202002
50350,147,39,30,202004
51810,41,40,0,202001
52350,18,9,9,202006
52510,17,8,5,202002
50070,7,6,0,202006
50441,24,8,13,202004
51200,69,0,47,202002
50970,810,475,90,202003
51100,103,34,49,202006
51910,31,17,6,202003
51810,24,23,0,202006
51870,58,26,23,202005
51010,20,9,4,202004
50510,18,0,3,202003
50600,8,4,0,202004
51484,4,1,1,202002
51484,1,0,1,202005
50300,136,46,56,202001
51040,95,69,16,202003
51810,35,32,1,202005
50510,21,3,0,202002
52295,13,4,3,202005
53100,12,2,2,202004
52350,25,13,8,202002
52230,6,4,2,202002
50180,3,1,0,202006
51010,47,12,4,202002
50330,1,0,0,202001
51815,269,110,13,202003
53000,2,2,0,202005
51130,680,420,93,202003
51130,494,340,85,202006
50785,94,23,66,202005
50140,191,89,66,202002
50330,2,0,0,202002
51815,644,99,11,202005
53130,62,5,3,202002
51500,9,3,0,202003
51840,17,4,6,202004
51205,5,1,3,202006
51254,8,5,3,202005
50180,7,2,1,202003
50180,2,0,0,202001
50610,5,1,0,202004
50700,6,2,4,202005
51800,6,2,0,202003
53050,28,2,0,202001
52295,10,4,6,202001
50040,18,6,4,202004
52870,6,1,2,202005
50450,68,25,29,202001
51860,1,0,0,202001
53000,5,2,0,202003
50340,62,29,17,202004
52940,16,4,5,202004
52297,5,1,3,202002
53130,26,3,0,202001
52680,8,1,0,202004
50060,611,177,146,202003
51100,126,33,66,202002
51941,55,38,15,202005
50350,187,46,42,202001
52350,18,9,7,202001
52090,8,4,4,202001
52270,13,5,5,202001
50440,1,0,0,202004
51260,88,5,44,202001
50441,24,8,12,202001
50790,18,6,10,202002
51800,6,2,0,202001
52510,16,6,6,202001
50350,122,37,28,202006
50600,15,3,1,202005
50210,10,3,5,202001
53100,9,0,2,202006
50055,5617,1232,3516,202004
50380,143,80,42,202002
52870,14,1,3,202004
50600,12,9,2,202001
51803,33,30,1,202004
50805,23,10,11,202006
52040,15,1,13,202005
52297,12,0,7,202003
50250,1,1,0,202005
50100,2,0,0,202001
51400,28,9,11,202004
50925,23,10,9,202004
53100,8,4,2,202005
50510,21,2,1,202001
51860,4,1,1,202006
50055,6585,1066,3547,202006
51205,11,3,6,202005
51070,8,4,2,202003
50340,80,40,11,202001
50517,38,7,5,202001
