inPortNo,portTimeTotal,portTimeTotalCargo,portTimeTotalTanker,period
50060,34406850,8729574,14276103,202002
50060,42399509,10766325,17473122,202003
50060,24638585,6123434,7670476,202004
50060,22612825,6807280,6853651,202005
50040,7365411,205797,37819,202006
50045,143951,136193,3620,202001
50045,74863,2881,69187,202002
50045,28045,1111,539,202003
50140,41137961,16980084,18663849,202003
50140,49455593,17848975,21106877,202004
50140,43851427,11985184,21413065,202005
50100,715001,709131,5870,202004
50100,1737032,1310822,0,202005
50100,28067,0,0,202006
50120,126157,34952,9120,202001
50250,1901157,0,1468197,202004
50250,3921,3921,0,202005
50250,2555075,1112719,0,202006
50300,39836447,9055408,17552898,202001
50330,1621,0,0,202006
50340,14444330,165889,457770,202001
50340,14879741,152942,1019523,202002
50340,8911326,116245,1157090,202003
50300,35570366,12777778,8965779,202002
50300,34702526,13211818,10407025,202003
50300,32743209,13681224,9993385,202004
50350,16872663,136064,5933664,202001
50350,16652104,89638,5471294,202002
50350,18927722,70000,6433752,202003
50350,19273524,125354,5830944,202004
50380,47710867,23712952,12498502,202002
50380,54003324,30311433,16094015,202003
50380,59047221,27061332,17248930,202004
50380,54303517,22362860,21395971,202005
50441,12769564,7217500,2912879,202002
50441,9852609,4307510,2908984,202003
50441,11942541,5809956,4451357,202004
50450,15607519,6742363,8085975,202003
50450,26083501,17333486,7298814,202004
50450,16497418,11028838,3667097,202005
50450,14403630,7830925,4841511,202006
50510,1664028,274098,113043,202001
50510,1039096,108249,0,202002
50510,1189311,0,440196,202003
50650,313788,170078,0,202003
50650,840057,442802,0,202004
50650,1482646,717796,277792,202005
50790,8723,0,1344,202003
50790,5589,0,3607,202004
50790,79402,65931,2344,202005
50650,1934465,1218672,404820,202006
50652,719,0,0,202004
50700,3611184,2904256,697747,202001
50700,5067520,4977334,90186,202002
50790,14056,0,10624,202006
50805,10241438,2115464,5426370,202001
50805,9862407,2972486,5470642,202002
50805,10337739,2509444,4008057,202003
50932,10033,4592,1808,202003
50932,3215,1859,244,202004
50932,4775,124,2606,202005
50932,4477,991,2548,202006
50935,167011841,62011973,55088754,202001
50935,186405834,81403076,58249545,202002
50935,214587263,88209656,74002705,202003
50970,201282571,116682607,32619146,202002
50970,223036090,124342571,42701012,202003
50970,237218779,139011953,44790017,202004
50935,208693150,93903819,64224699,202004
50935,205269741,75917993,65024400,202005
50935,208794021,72164655,79680062,202006
50970,236264695,132057813,40178426,202001
51100,60571889,22078212,19789795,202005
51100,52771377,16990541,20210717,202006
51120,10262,10262,0,202001
51120,906392,4915,0,202002
51200,13422536,10377,10905098,202003
51200,16230031,9973,12814074,202004
51200,14835257,7320,11586344,202005
51200,15332097,82233,10018034,202006
51205,1465067,1202914,20754,202004
51205,9474,2599,5979,202005
51205,2118163,4029,9025,202006
51220,32229360,14304249,14743710,202001
51260,19427512,40471,3974989,202004
51260,18518317,23052,4854494,202005
51260,15935388,58799,3487728,202006
51320,1186288,645796,540492,202003
51320,1284416,256841,781790,202004
51320,1942927,118453,486888,202005
51504,6214594,140,2588597,202006
51770,14834308,13160822,444524,202001
51770,14496459,13980643,205742,202002
51770,15145820,13568107,0,202003
51800,637529,499742,0,202002
