inPortNo,portTimeTotal,portTimeTotalCargo,portTimeTotalTanker,period
51800,441285,152613,0,202003
51800,850342,32876,0,202004
51820,7481456,1372508,1216992,202006
51830,10288736,2713982,572188,202001
51830,6876882,992982,776137,202002
51855,51699,23186,5714,202004
51855,163984,13050,22590,202005
51855,107562,10219,10732,202006
51860,731,0,149,202005
51860,0,0,0,202006
51865,2565552,2207181,0,202001
52065,23015010,8349838,9544753,202006
52090,239158,186160,52998,202001
52090,498275,312755,185520,202002
52140,124878,0,124878,202004
52140,53621,0,53621,202006
52220,1094354,275930,814983,202001
52220,1807480,1348951,458529,202002
52270,128209,9700,97417,202001
52270,314609,235168,64116,202002
52270,383335,310183,42663,202003
52270,151444,86117,38,202004
52295,3888908,3528555,360353,202002
52295,3720654,2524729,701980,202003
52295,1712380,960824,682991,202004
52295,2984442,1648619,267558,202005
52560,0,0,0,202005
52560,60,0,0,202006
52660,131184,119729,11455,202001
52660,45882,36300,0,202002
52660,258743,218831,39892,202003
52660,296162,176465,0,202004
52660,78850,61326,390,202005
53000,121320,121320,0,202006
53010,4959466,3424888,212182,202001
53010,4148854,3135133,93043,202002
53010,4413706,3501974,178242,202003
53020,23889246,1722897,8175302,202005
53020,16511968,1491828,4387647,202006
53050,3544965,11210,0,202001
50030,596117443,109031741,391405033,202005
50030,621680702,124749808,399037219,202006
50040,2269789,1205266,990015,202001
50040,2884075,2508059,28262,202002
50100,47367,0,0,202001
50100,547558,547558,0,202002
50100,608556,608556,0,202003
51100,40974304,8392301,12611642,202002
51100,49970348,12208096,16858676,202003
51100,50999387,12822700,21205742,202004
50180,975874,0,719385,202005
50180,1018067,0,554441,202006
50210,4115000,2366760,380545,202001
51180,3687940,2975543,439365,202002
51180,3037730,2274325,9505,202003
51180,8501166,3456606,38372,202004
51180,6788033,1943525,19798,202005
50340,8199496,123886,1011948,202004
50340,12238679,82145,1457700,202005
50340,15895022,118842,762598,202006
51330,688703,122258,566445,202004
51330,467638,293259,0,202005
51330,185095,0,11400,202006
50510,1047455,0,1605,202004
50510,785951,0,14058,202005
50510,392427,0,164434,202006
51340,1748039,1711500,0,202001
51340,158532,129849,241,202002
51340,516873,128424,0,202003
51340,174179,0,0,202004
50516,336717743,15654835,277917048,202001
50516,335660918,18572355,275826283,202002
50516,337254366,17847393,282778471,202003
50516,349918356,19551146,295121792,202004
51484,6121,0,6121,202005
51484,105843,0,0,202006
51500,2736683,292503,0,202001
50925,17782,6575,1987,202001
50925,6223,2929,740,202002
50925,165807,160228,1663,202003
50925,3803,1282,472,202004
51780,0,0,0,202001
51780,669,0,0,202003
51780,77959,0,0,202004
51800,1550289,181283,0,202001
50930,566203,551846,5927,202002
50930,78570,67824,7585,202003
50930,16539,5280,6209,202004
50930,22834,4193,13138,202005
51803,19414567,18923199,0,202003
51803,17267229,16986773,27002,202004
51803,12110432,11905048,205384,202005
51010,9473589,3561511,309899,202004
51010,17687211,6855626,2343978,202005
51010,7830579,2365621,3291163,202006
51860,819,0,0,202001
51860,2331,499,130,202002
51860,0,0,0,202003
51860,129,129,0,202004
51070,311477,16078,421,202004
51070,49327,8820,31955,202005
51070,309034,1970,0,202006
51100,40742237,7422618,13712349,202001
51890,10523937,1614039,1626362,202001
51890,7332734,1413837,815738,202002
51890,13468466,2667180,2880761,202003
51220,36801784,14274606,18328887,202002
51220,37756364,10881774,22008109,202003
51220,53425987,15776336,31672669,202004
52090,353195,290123,63072,202003
52090,341386,245742,95644,202004
52090,153240,0,153240,202005
52090,433704,194751,238953,202006
51220,43569644,10546455,27862333,202005
51220,46429195,11082897,28184377,202006
51254,2898807,503872,0,202001
51254,877355,686469,190886,202002
52260,7365843,1364863,4384126,202004
52260,11315670,914464,6259521,202005
52260,9480929,71816,6897873,202006
51350,1301,1282,0,202006
51400,14327308,1451873,6568536,202001
51400,14234463,1729192,5735789,202002
51484,3314833,161523,0,202001
51484,1553744,56586,0,202002
51484,294661,225002,69659,202003
51484,380716,0,0,202004
52295,4140302,3218396,371424,202006
52297,1020713,1692,862588,202001
52297,289260,69899,113877,202002
51810,18606030,17695236,309608,202004
51810,12022747,10835820,906552,202005
51810,17698974,17698974,0,202006
52510,4152195,1289400,605292,202003
52510,4458258,457285,363972,202004
52510,8075331,1312094,305945,202005
52510,8940061,1872414,12360,202006
51820,6726417,506795,2110841,202002
51820,6405767,948547,2769340,202003
51820,4688305,828509,41941,202004
51820,8204562,1781781,522295,202005
52560,51321,202,0,202002
52560,368235,19,25460,202003
52560,45982,34768,0,202004
51865,2201460,1006956,167661,202002
51865,708984,708984,0,202003
51865,1521229,1232655,288574,202004
51865,2409358,1049103,1360255,202005
52940,738779,439480,235839,202002
52940,513982,417403,25919,202003
52940,448273,120247,156551,202004
51870,38546382,17090405,7501336,202003
51870,37365240,15528403,8643839,202004
51870,40068306,11354186,13433120,202005
51870,35989992,10780607,9320185,202006
53000,371259,286692,0,202003
53000,314800,314800,0,202004
53000,320108,320108,0,202005
52220,1133757,652787,451029,202006
52230,1244269,1095186,149083,202001
52230,3242153,2760890,481263,202002
52230,4306004,3742066,141108,202003
53130,3892431,1622991,0,202005
53130,3364705,549592,146327,202006
53133,6062631,1692197,1050579,202001
53133,7296657,3468667,499153,202002
52235,4815259,1609109,0,202002
52235,4952382,1008790,1044984,202003
52235,5051926,2539173,353798,202004
53133,6070479,2417524,897583,202003
53133,6275229,1814476,505981,202004
53133,7307768,1837063,559883,202005
52320,43272596,19426836,11501771,202004
52320,37622856,14777968,9427960,202005
52320,36579823,10153876,10772353,202006
52350,3588649,2174952,527608,202001
52350,2650170,2178082,472088,202002
52350,2018000,1139175,877854,202003
52350,3218843,2157603,875350,202004
52720,11438529,3931682,4500203,202002
52720,18714144,4257758,5274986,202003
52720,20461379,4851847,6788476,202004
52720,25458393,5486605,13417161,202005
52720,14365250,4086643,6071787,202006
52760,144264,131994,12270,202001
52760,1018011,676546,288746,202002
50030,565687201,124630598,340723450,202001
50030,591806929,147826663,356948821,202002
50030,591121562,140123901,367059232,202003
50030,546825708,118238546,337309983,202004
50060,31036069,9622188,9568038,202006
50070,7463,7463,0,202001
50070,57419,0,3993,202002
50040,2761982,1239760,73957,202003
50040,4337360,1916704,98146,202004
50040,4412177,555009,140214,202005
50600,1495494,983689,257264,202001
50600,1167764,984706,0,202002
50600,1391915,505692,0,202003
50070,303312,265346,0,202003
50070,2358,2358,0,202004
50070,421424,292331,570,202005
50070,492069,372006,0,202006
50610,169973,11253,0,202005
50610,37832,0,0,202006
50650,286446,91490,168494,202001
50650,197549,91958,0,202002
50516,344413887,21811661,284753970,202005
50516,309616116,11479922,270188531,202006
50517,4525600,3392519,260733,202001
50700,2161936,1514290,634864,202006
50730,17382871,5929295,7799335,202001
50730,12800774,3837140,5587505,202002
50730,13049292,7659468,4763053,202003
50517,3587713,2279791,1094209,202002
50517,6705492,2858286,3055467,202003
50517,5289163,1066055,3057221,202004
50517,5113065,1692247,3209477,202005
50925,3418,547,1192,202005
50925,4576,1439,2675,202006
50930,62703,21417,10413,202001
50700,2909252,1970743,938509,202003
50700,2636642,1171979,977643,202004
50700,5320001,4802777,206719,202005
51020,2499830,0,0,202001
51020,1627625,8061,11650,202002
51020,1258883,58660,12329,202003
51020,709979,24591,0,202004
51030,81,0,81,202002
51030,14367,1572,11714,202003
51030,859698,69,0,202004
51030,653,653,0,202005
50785,29978680,8475666,16187804,202005
50785,21956359,5186604,13518622,202006
50790,54866,5939,10077,202001
50790,45676,2570,21788,202002
51280,9642849,4628221,488245,202005
51280,7956703,3093868,591561,202006
51290,2160,0,0,202001
51120,126,0,0,202003
51120,152511,0,0,202004
51120,227271,0,0,202006
51290,20881,0,0,202004
51290,4199,4199,0,202006
51320,941261,327062,268589,202001
51320,2227599,709653,1262833,202002
51130,157621110,79387820,37044373,202005
51130,153067558,85626672,33301181,202006
51180,1922050,1837783,72496,202001
51501,16019,8102,0,202003
51501,473986,0,0,202004
51501,0,0,0,202005
51501,61568,0,0,202006
51340,792306,548536,102009,202005
51340,246869,246869,0,202006
51350,745938,745699,239,202001
51770,8637796,5741295,156800,202004
51770,11958923,7154898,520613,202005
51770,9445477,6980565,136564,202006
51400,11547730,1806711,4399947,202003
51400,13307149,2324629,4041954,202004
51400,14211311,2920472,4860144,202005
51400,11544647,1455960,3941182,202006
51840,892363,2818,880838,202004
51840,759249,0,759249,202005
51840,300803,50,218855,202006
51845,119322128,32463644,60512303,202001
51845,110545775,26575167,60882713,202002
51845,115848937,26677903,55533489,202003
51845,98194343,24046813,43496779,202004
51800,1582114,0,0,202005
51800,903468,646532,0,202006
51803,23128300,22211324,0,202001
51803,24254272,23118889,0,202002
51910,4998675,3467478,1531197,202002
51910,6969978,3139728,2133529,202003
51910,9107903,4495693,2546977,202004
51803,18865744,18865744,0,202006
51810,17336364,15982040,0,202001
51810,19535107,19369909,0,202002
51810,18649506,18324360,0,202003
52040,3143828,0,3052031,202005
52040,1257116,7250,1087506,202006
52065,22129200,12089935,6179462,202001
51865,1482002,670209,85025,202006
51870,44887642,23110069,10457502,202001
51870,38094654,17663979,7027342,202002
52270,734921,515876,192604,202005
52270,72959,9602,19750,202006
52295,5297901,4426563,380390,202001
51890,15051990,1799220,3845597,202004
51890,10618739,1209566,1290907,202005
51890,8105241,3061048,1856526,202006
51910,7238377,4113615,3077658,202001
52350,5021268,4281251,630450,202005
52350,3099821,2261999,837822,202006
52440,6305,0,0,202001
52440,379078,172888,45067,202002
52140,27606,0,27606,202001
52140,406224,338402,67822,202002
52140,4496,0,4496,202003
52695,2145826,6880,312581,202001
52695,844159,0,212309,202002
52695,2467767,0,44522,202003
52695,4162767,0,210422,202004
52695,4797788,0,1197384,202005
52695,1936368,0,763127,202006
52720,11349836,3923897,4975735,202001
52230,3951107,3408649,157610,202004
52230,2573607,2461151,112456,202005
52230,4497164,4399691,97473,202006
52235,3375323,810540,625509,202001
53010,4707576,1781076,18717,202004
53010,6828630,1633237,32265,202005
53010,6716934,1940877,24793,202006
52440,734463,163496,0,202003
52440,1056379,170159,0,202004
52440,216605,129415,87190,202005
53050,8580,0,0,202006
53100,720358,92701,104571,202001
53100,409237,85868,107049,202002
52523,422465,0,0,202004
52523,134002,124350,98,202005
52523,0,0,0,202006
52560,807,807,0,202001
53020,12943905,2111967,856001,202001
53020,17777776,2200627,4379959,202002
53020,23316216,3689897,4301016,202003
53020,26721206,3590119,6130006,202004
noPort,1477901323,667325748,302025018,202004
noPort,1796091821,786483171,427868039,202005
noPort,1728586748,716315630,443909812,202006
53050,4829863,2601,0,202002
53050,3344835,0,0,202003
53050,190382,79,0,202004
53050,301738,1891,7099,202005
50045,74765,1621,0,202004
50045,103561,77049,10671,202005
50045,11278,0,570,202006
50120,134017,21735,13596,202002
50120,45633,26886,12211,202003
50120,71963,45588,0,202004
50055,815106122,208976725,307026458,202005
50055,804203233,197751606,303870238,202006
50060,24358315,7643694,10044763,202001
50440,1840,0,0,202004
50440,3070,0,1090,202005
50440,31,0,0,202006
50441,9059248,2894251,4028584,202001
50120,11154,7845,3309,202005
50120,46127,14646,11040,202006
50140,51787982,24831681,19309744,202001
50140,49551797,23053339,18348143,202002
50441,10842470,6544847,3295965,202005
50441,11579099,1551126,3953212,202006
50450,19933648,8893981,7223110,202001
50450,17249117,6771536,7944511,202002
50210,1309295,381131,251166,202002
50210,4149264,611862,652937,202003
50210,2549954,416522,501571,202004
50210,3710955,1305239,333673,202005
50730,17260536,7988043,4550834,202004
50730,18976697,9989947,5926503,202005
50730,18041882,7441274,4631393,202006
50785,40980415,10617550,28019019,202001
50210,514251,0,319139,202006
50231,3407734,0,2954495,202001
50231,2504109,0,2504109,202002
50231,3390158,0,2120369,202003
50231,3978795,0,2397330,202004
50231,1591138,0,1275545,202005
50231,1214002,0,1209951,202006
50250,126033,10602,0,202001
50250,346392,7445,0,202002
50250,506374,1662,479149,202003
50330,4881,0,0,202003
50330,120,0,0,202004
50330,4141,0,0,202005
50785,33101466,7274207,23180323,202002
50785,25494782,4850049,17012351,202003
50785,38705218,9286351,27401985,202004
50380,51229970,23878233,16907645,202006
50440,0,0,0,202001
50440,0,0,0,202002
50971,40424853,24716135,7459655,202006
51010,9024420,3581398,1344555,202001
51010,11362129,5122348,698153,202002
51010,7219669,5149833,1497541,202003
50518,2828593,1790208,418209,202003
50518,4178175,1426101,1284007,202004
50518,2667867,1312985,517152,202005
50518,1892400,596394,1105829,202006
51020,1810011,20998,0,202005
51020,751820,22811,0,202006
51030,365279,2644,0,202001
50610,20825,2385,2881,202002
50610,12640,12640,0,202003
50610,109263,31320,0,202004
51205,5271669,4266263,14355,202001
51205,1512916,1508066,4850,202002
51205,2782514,2641771,74843,202003
50970,267101235,153692344,49753080,202005
50970,244593236,133995118,43483722,202006
50971,41118703,31087412,5141252,202001
50971,39308361,27613997,5684650,202002
51254,844660,737459,107201,202003
51254,951745,832795,118950,202004
51254,1182835,804178,378657,202005
50971,48168323,32986749,5647656,202003
50971,60659997,41925003,5972510,202004
50971,61925934,40135969,10769308,202005
51030,517705,1528,0,202006
51040,19340750,9637904,3813469,202001
51040,12937049,6543729,2637790,202002
51502,19494,0,0,202001
51502,94564,0,0,202002
51502,1323959,0,73389,202003
51130,130013994,71277095,28290212,202001
51130,134497493,78565226,27884049,202002
51130,148229148,90675122,26337141,202003
51130,142296398,77182668,29651887,202004
51504,8851753,26112,3084616,202003
51504,8062771,29160,2621470,202004
51504,7678467,24850,2656876,202005
51280,9274085,4639268,785856,202001
51280,9918427,5502869,1094631,202002
51280,9504949,5700229,601748,202003
51280,8259435,5374879,385326,202004
51840,614610,650,570766,202001
51840,1174603,271804,879114,202002
51840,312826,0,295672,202003
51320,998366,177980,415396,202006
51330,352459,140401,212058,202001
51330,287636,0,284052,202002
51330,342048,0,308387,202003
51850,1087814,1065795,2960,202003
51850,437038,437038,0,202004
51850,1179383,1162545,0,202005
51500,1293173,0,0,202006
51501,33719,0,8460,202001
51501,125163,0,10441,202002
51941,8798431,3148280,5645126,202004
51941,12416986,6526819,5890167,202005
51941,8272018,3192258,5076449,202006
51502,796340,0,0,202005
51502,1747360,0,0,202006
51504,8905647,26378,1098543,202001
51504,14689262,33530,2770498,202002
52040,1251468,5802,800426,202001
52040,1297316,7908,1185223,202002
52040,747481,40181,707300,202003
52040,567171,0,504894,202004
51830,7120505,1397222,830941,202003
51830,11207460,1528869,503694,202004
51830,11933718,1114371,718106,202005
51830,8566582,2181316,900637,202006
51845,100185584,22588868,43860952,202005
51845,97597417,29280806,44312772,202006
51850,847683,837223,0,202001
51850,733893,684539,10016,202002
52240,22330145,14427067,1692614,202006
52260,4619998,661894,3280330,202001
52260,4030897,219367,2934107,202002
52260,6242019,842502,3733967,202003
51920,2127436,660207,1440745,202003
51920,2469436,1252680,1189439,202004
51920,3194161,1122503,1507083,202005
52297,357770,0,221421,202003
52297,2143786,0,964262,202004
52297,1270620,0,472268,202005
52297,241359,0,239649,202006
51920,1996219,1074378,266673,202006
51941,12674955,6596352,5248510,202001
51941,11160078,5084022,5315407,202002
51941,8294450,4056178,3766023,202003
52870,1831538,138501,214347,202001
52870,1516066,190879,294663,202002
52870,1553088,150025,203418,202003
52235,3358722,2556202,680405,202005
52235,4163248,2534911,646435,202006
52240,54054484,47651202,4546769,202001
52240,50751634,43862556,4463651,202002
52870,2907833,326862,409937,202004
52870,4850544,298905,215718,202005
52870,4183474,112703,276901,202006
52940,339662,133570,25596,202001
52240,47132666,39386449,4866220,202003
52240,45288051,35425998,4846374,202004
52240,38835597,29827440,3384098,202005
52320,42213372,20066947,15801612,202001
52320,34066099,16952110,9762726,202002
52320,32110776,18148678,8825941,202003
53133,5135056,1205802,438752,202006
noPort,1888620696,870808726,391343502,202001
noPort,1769188378,820783358,359871658,202002
noPort,1665774025,736942555,350595698,202003
52660,52811,659,12899,202006
52680,1512632,651262,25895,202001
52680,380,380,0,202002
52680,31329,698,0,202003
52680,29721,540,0,202004
52680,881603,120,52959,202005
52680,317677,20,182694,202006
52940,268342,257885,0,202005
52940,354476,330450,3210,202006
53000,239126,235819,0,202001
53000,103108,70527,0,202002
53115,20826608,16829766,897603,202001
53115,18662199,15323088,121006,202002
53115,13871906,10387898,646314,202003
53130,9038555,2732089,1628229,202002
53130,6947851,3285229,143558,202003
53130,5488698,2399981,109587,202004
50055,901185815,274766031,347019478,202001
50055,851089777,266697351,339709552,202002
50055,883897358,282284783,336790577,202003
50055,826209440,244850941,307794222,202004
50140,31344726,9269323,15191151,202006
50180,54377,0,0,202001
50180,14636,0,14636,202002
50180,588451,270,233102,202003
50300,35673069,7385245,14501065,202005
50300,31459650,11881216,8474662,202006
50330,0,0,0,202001
50330,2823,0,0,202002
50350,19086362,56874,6152989,202005
50350,16953168,532677,5803187,202006
50380,42356424,20979062,13178672,202001
50517,4385686,1724423,2495071,202006
50518,4877353,1781900,0,202001
50518,1755944,1186648,206625,202002
50600,1531448,808666,0,202004
50600,1541050,356220,0,202005
50600,1040949,36233,0,202006
50610,36731,0,0,202001
50805,9460539,3383765,2839426,202004
50805,7394091,1116363,3129103,202005
50805,7355648,1704675,2712694,202006
50930,26988,2807,23552,202006
50932,38593,17391,2686,202001
50932,5171,3510,337,202002
51040,15377696,9743140,2494049,202003
51040,16086050,11100990,3118459,202004
51040,18770876,15959274,1863115,202005
51040,17656454,11568064,1763476,202006
51070,39121,29911,9210,202001
51070,52876,13790,10801,202002
51070,55228,24717,9359,202003
51180,4251294,2400463,116822,202006
51200,11637630,35004,10902338,202001
51200,12943728,0,11979236,202002
51254,704422,704422,0,202006
51260,10589109,2440,5268200,202001
51260,12606391,611,5889968,202002
51260,17203372,351081,3787638,202003
51350,30423,0,30423,202002
51350,312154,132478,72014,202003
51350,157195,157195,0,202004
51350,0,0,0,202005
51500,1970552,0,0,202002
51500,621229,1,0,202003
51500,1498518,0,0,202004
51500,748645,87138,0,202005
51815,131913540,108561918,10534453,202001
51815,134596903,109159172,9845965,202002
51815,137995723,115007092,10290541,202003
51815,84889420,61471800,10219415,202004
51815,101033760,75907164,9254770,202005
51815,84801388,63083931,8496467,202006
51820,4247796,826594,315183,202001
51850,48973,610,27361,202006
51855,222437,11051,44175,202001
51855,225784,106941,16331,202002
51855,268364,32244,15105,202003
51910,9710630,4975213,1689634,202005
51910,7460354,3109520,1992903,202006
51920,2823613,1547381,1168911,202001
51920,3018735,1893185,646198,202002
52065,20104928,9430068,5832131,202002
52065,20605645,7915912,8501837,202003
52065,25957340,6950901,11212286,202004
52065,23152058,8881806,10119083,202005
52220,1129099,713115,281076,202003
52220,880876,483557,336472,202004
52220,865914,240894,625020,202005
52440,419497,135739,0,202006
52480,272,272,0,202001
52480,20,20,0,202003
52480,333959,333959,0,202005
52480,144411,144411,0,202006
52510,5435965,1310088,722490,202001
52510,3218439,723631,355221,202002
52523,1236907,1632,2531,202001
52523,1974603,0,104831,202002
52523,811546,23023,27001,202003
52760,1356768,597013,639377,202003
52760,903253,738300,40794,202004
52760,380870,129307,6882,202005
52760,278937,66011,0,202006
53100,827930,282110,24479,202003
53100,521649,394220,29375,202004
53100,413554,294681,103013,202005
53100,160721,0,61037,202006
53115,12556218,8970511,338348,202004
53115,17525509,13925519,812813,202005
53115,16015231,13016537,63363,202006
53130,5174835,924837,580586,202001
