inPortNo,portTimeTotal,portTimeTotalCargo,portTimeTotalTanker,period
50040,11290161,0,10217,202100
50045,101911,89849,0,202007
50045,26469,0,900,202008
50060,37203709,9566719,15553263,202011
50060,38553752,9932309,13084274,202100
50070,310843,271983,80,202007
50070,342649,342649,0,202008
50100,2058531,2058531,0,202010
50100,816489,794420,0,202011
50100,1285069,1240743,0,202100
50120,89567,18594,9594,202007
50120,74742,34260,0,202008
50120,139003,36188,14281,202009
50120,162349,66936,50968,202010
50231,412460,0,281166,202011
50231,1750098,671334,906658,202100
50250,544462,533271,6301,202007
50250,429323,239373,181900,202008
50330,31695,0,0,202007
50330,10984,0,0,202009
50330,4822,0,0,202011
50340,17466036,112420,630567,202007
50441,15131104,1669630,4098547,202009
50441,17853625,1517317,4197561,202010
50441,20275443,5161160,3122415,202011
50441,7450444,522726,3021265,202100
50450,21237465,11785711,3731364,202007
50450,18535339,9376479,6748144,202008
50450,22087544,15836862,4071517,202009
50517,7642708,2235666,2283380,202010
50517,5265755,1337219,2123131,202011
50517,3464487,1494820,1525712,202100
50518,1590243,1264903,221583,202011
50518,1227575,578964,358387,202100
50600,610991,193382,182145,202007
50700,3630633,819556,281496,202100
50730,11399514,5605354,3339267,202007
50730,19626335,6299248,10927553,202008
50730,21377515,11564764,6864847,202009
50730,20968753,7786379,6476653,202010
50730,17528131,4685794,7611714,202011
50925,2033,445,120,202009
50925,10703,2390,1500,202010
50925,141627,807,139645,202011
50925,2220,543,979,202100
50930,13811,4389,3101,202007
50930,28396,11147,4459,202008
50930,15908,4925,5318,202009
50970,193516927,109410688,37577225,202010
50970,175856085,96221445,26487990,202011
50970,221743123,120967120,37507814,202100
50971,37880517,22025602,6432105,202011
50971,44351368,27488632,8641441,202100
51010,9175881,1510586,2193144,202007
51040,27193953,17936350,3895180,202100
51070,60603,8851,3672,202007
51070,325119,68187,6924,202008
51070,1160790,1001252,12101,202009
51070,1542982,614103,718,202010
51070,448259,6179,23620,202011
51070,1167717,15110,37221,202100
51130,162379271,69398149,46378444,202007
51130,151730773,64038161,42655845,202008
51130,141393831,74984370,31329609,202009
51205,4530211,1952774,28637,202010
51205,4222369,3544211,23695,202011
51205,2713233,2418709,38432,202100
51220,31199944,9615329,18049730,202011
51220,34812704,9011661,18290630,202100
51254,1327448,1209339,118109,202007
51290,15951,4258,0,202009
51290,14899,2841,0,202010
51320,1393987,259330,745474,202007
51320,1656216,309136,842043,202008
51320,1702056,218211,593680,202009
51320,1619092,946850,672242,202010
51320,1215392,792808,422584,202011
51350,254627,0,204585,202011
51350,297234,211972,85262,202100
51400,10465006,1550002,4083421,202007
51400,14918323,4236133,4148510,202008
51400,11451224,3617828,2591601,202100
51484,962461,0,0,202007
51484,561680,0,429619,202008
51501,45221,5037,13528,202010
51501,36737,0,0,202011
51501,18723,7561,0,202100
51502,146531,0,0,202011
51502,324013,0,12,202100
51504,5144131,172050,2683978,202007
51800,512294,300795,0,202009
51800,10761,0,0,202010
51800,353243,219498,0,202011
51800,1199404,667373,0,202100
51803,18349861,18349861,0,202007
51803,17834029,17444480,339601,202008
51803,12913744,12913674,70,202009
51820,6125840,2204090,0,202009
51820,4007031,394992,220797,202010
51820,2828472,931894,43880,202011
51820,5596034,1110201,1119656,202100
51830,5295030,1430555,430704,202010
51830,8510288,4689967,398007,202011
51830,7128539,3598044,22486,202100
51840,423804,130,88023,202007
51855,360893,317510,22028,202011
51855,28691,9500,2434,202100
51860,775,775,0,202007
51860,0,0,0,202100
51865,1004045,368924,437448,202007
51865,1100679,673221,427458,202008
51890,10825317,4549128,2120783,202011
51890,7677315,3299476,2321504,202100
51910,7263770,2328500,4079215,202007
51910,7658880,2088546,3644743,202008
51910,9108715,1027940,5568620,202100
51920,3102646,1508492,593130,202007
51920,4218452,2882952,1322903,202008
51920,1575988,1025759,517343,202009
52090,99003,63330,35673,202007
52090,471806,340255,131551,202008
52090,252525,201143,51382,202009
52140,585147,583922,1225,202008
52140,495028,495028,0,202011
52220,742317,285017,242378,202007
52240,45523192,35747132,1032518,202011
52240,37127635,29263871,654450,202100
52260,9277518,156417,5612080,202007
52260,6735858,370164,6230275,202100
52270,442090,257599,141516,202007
52270,581594,229068,289524,202008
52320,30781180,9786052,8898194,202009
52320,28166085,10923865,8943148,202010
52320,32110854,13368580,12628425,202011
52440,243651,220250,23401,202007
52440,225352,133759,91593,202008
52440,350142,251991,15504,202009
52440,79008,0,70183,202010
52510,4196446,683224,211785,202100
52523,128776,311,15602,202007
52523,519499,0,13191,202008
52523,517500,138889,50214,202009
52660,160807,109167,5251,202008
52660,49307,48630,0,202009
52660,44859,43809,0,202010
52660,136065,11820,3776,202011
52760,425513,248851,0,202009
52760,1124489,1124489,0,202010
52760,8017,8017,0,202011
52870,745012,348279,183305,202010
52870,793411,0,122908,202011
52870,695095,273880,110877,202100
53020,24505698,2821785,10039290,202008
53020,15179933,1508436,7338302,202009
53020,17441227,3294899,6892021,202010
53020,13237965,1476615,5524946,202011
53020,14372985,1835734,6483531,202100
53050,12801,0,11360,202007
53050,25841,140,3410,202008
53130,3385091,1154608,414180,202008
53130,3345867,1496436,359654,202009
53130,3663156,1871758,345311,202010
53130,2782160,1213487,108740,202011
noPort,1883280335,785607015,513165507,202007
noPort,1784798657,676837584,498056420,202008
noPort,1681404635,614813699,478397633,202009
50030,593576394,120400644,385382705,202011
50030,556447374,92256770,382129577,202100
50040,7641641,84366,49482,202007
50440,0,0,0,202008
50440,2258,0,1070,202009
50440,954,0,954,202010
50440,589,0,589,202011
50060,37948744,11642609,12869049,202008
50060,38869547,8803191,13706504,202009
50060,41706936,6040254,19814263,202010
51120,353115,0,0,202008
51120,0,0,0,202009
51120,187469,0,0,202010
51120,79523,0,0,202100
52235,2956311,2228045,304893,202010
52235,1928551,1533076,344886,202011
52235,2670776,2398433,272343,202100
50210,1124830,226287,8638,202007
50210,982779,628466,263309,202008
50210,846445,313593,115893,202009
50210,1677358,539,267909,202010
50210,1207949,813401,391505,202011
50210,916923,475877,189907,202100
50231,1104339,0,791071,202007
50040,11494606,119,1475270,202008
50040,8194337,1915661,143776,202009
50040,15302912,1223223,215708,202010
50040,11657036,366466,854265,202011
50055,871552518,233210359,351881451,202010
50055,841035608,244041449,314178391,202011
50055,845881039,228392206,333448543,202100
50060,37578806,10391603,16608853,202007
50340,13331360,91636,509824,202008
50340,12363358,137203,750341,202009
50340,10803898,327192,418318,202010
52695,3529924,8246,990089,202010
52695,4465554,415187,1421752,202011
52695,4215933,1054820,644655,202100
52720,18534426,4779399,7514644,202007
52040,957240,0,887622,202008
52040,355601,0,58656,202009
52040,294483,0,259383,202010
52040,259455,2608,256847,202011
50350,16423216,1284700,6153601,202009
50350,19214822,3547196,6071971,202010
50350,12992155,1910120,5408087,202011
50140,41733741,21922876,13912160,202100
50180,1487623,210243,0,202007
50180,529700,405695,0,202008
50450,22090936,15056831,6146474,202010
50450,22213800,14304625,6145475,202011
50450,21574600,12760936,6296508,202100
50510,1248568,1242086,0,202007
50231,5129835,0,3685197,202008
50231,5535187,0,2339458,202009
50231,2193839,0,1143737,202010
50650,631225,471216,0,202010
50650,291314,196813,94501,202011
50650,122065,0,94502,202100
50652,541,0,362,202007
50510,59226,0,59226,202008
50510,547303,210334,336969,202009
50510,595308,476082,119226,202010
50600,1488242,1303382,0,202008
50600,787705,238895,0,202009
50600,541813,425714,0,202010
50600,748698,96546,0,202011
50300,31763062,9087167,8884663,202010
50300,30464174,9727226,10627356,202011
50300,29529968,13892067,7832053,202100
52560,71001,40961,0,202011
52560,84078,1805,0,202100
52660,156416,22269,2815,202007
50340,11945802,354341,323745,202011
50340,13794268,222738,579335,202100
50350,22196819,588576,5932128,202007
50350,19335078,1829767,6525638,202008
50650,3419416,2921186,274872,202007
50650,3371461,3267661,67438,202008
50650,819561,334206,136749,202009
52760,165619,160859,259,202100
52870,3619190,315819,129667,202007
52870,1293281,284153,0,202008
52870,1133834,150049,137224,202009
50730,13291678,7084774,3595489,202100
50785,27502278,5178859,17222851,202007
50785,32315021,5863638,20189740,202008
50785,22673010,4604415,13134581,202009
50045,40671,1509,360,202009
50045,19001,0,0,202010
50045,6485,547,0,202011
50045,6089,0,0,202100
50510,451026,336902,84963,202011
50510,293556,293556,0,202100
50516,322535481,14342100,278811333,202007
50516,279668973,8545015,240615129,202008
50805,6833436,890362,3264510,202008
50805,8792462,2551493,3505433,202009
50805,6543418,1257069,2335251,202010
50805,6736256,2320348,1893177,202011
50516,312434327,10426626,265454202,202009
50516,349185217,20015230,284259882,202010
50516,338315394,19462427,276424149,202011
50930,868972,848944,7831,202010
50930,14049,3497,3628,202011
50930,13333,3343,4234,202100
50932,2223,1139,901,202007
50440,109,59,0,202100
50441,10058028,1480655,3047096,202007
50441,11626530,2096769,2355082,202008
50932,4600,244,1339,202011
50932,2593,1094,1499,202100
50935,209323056,73922767,71839197,202007
50935,218390121,90992600,63992162,202008
50600,308892,203222,0,202100
50610,7693,1395,5759,202007
50610,4625,3495,767,202008
50610,39356,16856,0,202009
50610,10978,0,0,202010
50610,0,0,0,202011
50610,30246,0,0,202100
51010,11009209,4144763,1399564,202100
51020,194389,172552,0,202007
51020,12970,1320,0,202008
51030,156154,0,7419,202007
51030,1083602,266,0,202009
51030,2052899,0,0,202010
50180,83446,0,11882,202009
50180,600122,7429,558488,202010
50180,429308,5553,0,202011
50180,1190544,22537,163713,202100
51180,3823531,3355194,0,202008
51180,2169251,1976930,0,202009
51180,2026961,1986964,0,202010
50785,33017451,6870938,22072029,202010
50785,25977463,6143257,17134121,202011
50785,30539264,7376751,22089158,202100
52297,455633,0,292631,202008
52297,410806,274468,136338,202009
52297,508706,7264,343360,202010
50805,7579070,1606101,2873229,202100
50925,1031,311,481,202007
50925,31293,27675,932,202008
51180,2252122,1921559,330563,202011
51180,4344600,2926891,8033,202100
51200,14654999,61560,10934294,202007
51200,16537988,69624,13416411,202008
51254,3238171,2955210,282961,202100
51260,9863024,0,1855940,202007
51260,10704335,55290,4266453,202008
50932,4507,797,301,202008
50932,4237,289,1713,202009
50932,7951,856,1362,202010
51260,13167614,28248,4565809,202009
51260,12870628,387180,3566609,202010
51260,11907479,58015,2593076,202011
51260,13729560,12954,2223836,202100
50971,29874572,18754567,5859220,202007
50971,36769310,18901507,8698546,202008
50971,36505901,18083343,9116222,202009
50971,38215087,15891552,9415926,202010
51340,418816,404695,14121,202010
