inPortNo,portTimeTotal,portTimeTotalCargo,portTimeTotalTanker,period
50100,83275,10570,4919,201902
50100,87829,1830,4500,201903
50100,94726,0,0,201904
50100,67908,3631,0,201905
50180,20880,0,0,201901
50180,636764,0,636764,201902
50180,490628,99,298441,201903
50180,69460,4350,0,201904
50380,52080486,29080035,17835946,201902
50380,37417788,27287417,8315731,201903
50380,35005496,23099249,11281384,201904
50380,46171556,30314473,10366990,201905
50925,1192,816,0,201903
50925,4350,1976,876,201904
50925,543,0,300,201905
50925,1466,360,1027,201906
50932,842,378,363,201906
50935,134927555,52741141,44484994,201900
50935,146937061,72981102,42567985,201901
50935,112410272,54193022,30452320,201902
51220,35904373,13410153,16760679,201901
51220,37859091,9680926,21488453,201902
51220,45074111,11459313,28238122,201903
51220,38748924,9425000,24026469,201904
51330,192219,0,192219,201904
51330,34374,0,34374,201905
51330,5102,0,5102,201906
51340,230908,0,3081,201900
51845,94284033,46762497,36335637,201902
51845,99442946,44156279,39073948,201903
51845,93125858,31772528,36989260,201904
51845,93040426,29150275,39725347,201905
51865,772700,772700,0,201901
51865,1967037,1967037,0,201902
51865,3229757,3229757,0,201903
51865,1739100,1739100,0,201904
52235,1585567,1580774,4793,201900
52235,2767171,2515090,252081,201901
52235,1518893,1296540,222353,201902
52235,2164118,1544082,598616,201903
50350,15269145,264367,6362874,201905
50350,10900364,41081,6313620,201906
50380,36087554,20238453,10628727,201900
50380,39979005,23035701,13379186,201901
52870,4534016,330802,58386,201902
52870,3626316,436474,390079,201903
52870,1863833,0,0,201904
52870,1854556,0,5,201905
50518,1188290,1188290,0,201903
50518,122536,122536,0,201904
50518,2075360,205561,1152464,201905
50518,3930550,1923084,1033848,201906
50790,6961,1801,5160,201901
50790,66497,10148,35829,201902
50790,191900,8543,34676,201903
50790,7926,30,4017,201904
53020,10296107,1852901,1906799,201901
53020,11250304,1241064,2201372,201902
53020,14487426,2179830,2950742,201903
53020,8731631,1034896,1830684,201904
51205,1635807,1559178,38826,201900
51205,1277950,832819,801,201901
51205,217090,5549,43191,201902
51205,96502,15211,81291,201903
51205,2181393,2087749,7699,201904
51205,43991,52,6300,201905
51205,764978,668379,43708,201906
51220,37302561,13263282,17099609,201900
51803,40882269,39686068,0,201903
51803,40325995,39500733,196534,201904
51803,20456252,20381077,75175,201905
51803,16344573,15572110,491226,201906
50055,0,0,0,
50055,723859680,197724181,294647942,201900
50055,780931877,229707589,309848131,201901
50055,744189464,217069505,284158097,201902
50140,45088295,16347820,22276418,201904
50140,49975672,19898134,24577634,201905
50140,34626375,11221377,19960100,201906
50180,603096,0,603096,201900
50070,639734,639663,71,201901
50070,346107,346087,0,201902
50070,393578,390188,0,201903
50070,573998,570952,0,201904
50340,20925528,161311,707354,201904
50340,21863683,200426,1030497,201905
50340,19918485,187271,563747,201906
50350,11749891,16131,5603565,201900
50440,581,581,0,201903
50440,4869,98,4771,201904
50440,3382,562,2820,201905
50441,7280854,3108179,1968452,201900
50030,419812034,100641625,250524469,201900
50030,453325232,119202863,264879677,201901
50030,417449218,103372285,247767336,201902
50030,441581037,102014198,259582853,201903
50030,469412694,101901730,278561880,201904
50510,1039440,354619,394684,201903
50510,937809,417935,40542,201904
50510,867072,369393,107793,201905
50510,438568,101423,161642,201906
50300,35734373,10316516,15618720,201906
50330,490,0,0,201900
50330,0,0,0,201901
50330,59,0,0,201904
51020,167397,10779,0,201906
51030,4510,0,4510,201901
51030,8579,0,369,201902
51030,64196,14976,0,201903
50517,5033269,2293993,1312956,201901
50517,3829581,3176449,461183,201902
50517,4776542,3295735,437628,201903
50517,5666229,2974326,2395235,201904
50517,9925247,6445702,2685339,201905
50600,223021,151921,0,201904
50600,980134,634017,84937,201905
50600,252803,0,34461,201906
50610,46530,7681,0,201900
51040,18974583,8610750,6171057,201901
51040,17439682,11293665,3799580,201902
51040,15122479,9599605,2983669,201903
51040,17087610,12659355,2455059,201904
51484,882866,333822,211684,201906
51500,417927,349398,0,201901
51500,1133818,374150,146340,201902
51500,323412,276071,0,201903
51500,671512,162109,0,201904
51500,1049405,0,0,201905
51500,1522339,10653,0,201906
51501,17113,5415,0,201900
51860,2966,0,0,201901
51860,4170,370,0,201902
51860,1252,0,653,201903
51860,159,159,0,201904
51910,6704493,3246081,1920848,201900
51910,5305190,2715347,986362,201901
51910,2943815,787281,995621,201902
51910,5019767,1309506,3710261,201903
52297,468746,0,468746,201906
52320,44069474,31944295,5244444,201900
52320,54083918,34900422,8052171,201901
52320,46331903,26967865,10769083,201902
52350,4479689,4313864,165825,201904
52350,2416812,1922252,288452,201905
52350,3073601,2858413,215188,201906
52440,1806038,1806038,0,201900
53133,4961649,1003573,1095835,201906
noPort,1066773013,617176886,208270523,201900
noPort,1223819097,699013399,221841509,201901
noPort,1160830407,619209745,234141366,201902
