inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
51920,2,0.6999999999999997,1.0999999999999996,202003
52680,1,,0.2999999999999998,202006
51890,4,3.700000000000001,,202004
52720,4,0.7999999999999998,5.8999999999999995,202006
52260,2,,1.7999999999999998,202006
53115,6,7.0,,202003
51941,5,1.6999999999999997,3.3000000000000007,202001
52660,1,0.09999999999999964,,202003
52660,2,0.09999999999999964,,202005
52720,3,0.20000000000000018,5.2,202003
52235,2,3.5,,202005
51180,2,0.10000000000000053,,202005
51280,5,7.700000000000002,2.4000000000000004,202002
50070,1,3.0,,202005
50441,7,8.5,1.6999999999999997,202001
50790,2,,7.4,202002
51260,3,,6.199999999999999,202001
51800,1,0.6000000000000001,,202001
50250,1,,,202003
52240,2,5.200000000000001,,202002
50730,11,13.899999999999999,3.1000000000000014,202004
50935,69,70.10000000000001,68.99999999999999,202002
51502,1,,2.3,202003
51040,11,10.600000000000001,0.3000000000000007,202006
52295,2,0.10000000000000053,,202003
51220,28,8.6,44.0,202003
51803,19,92.10000000000002,,202003
51803,17,90.7,,202005
51840,3,,3.0999999999999988,202005
53020,3,,1.2999999999999998,202002
51855,1,4.199999999999999,,202006
53115,6,3.799999999999999,,202006
52240,5,14.200000000000003,,202001
50925,1,,1.0,202005
50650,1,0.7000000000000002,,202006
50805,7,9.8,2.8999999999999995,202004
51260,2,,3.1999999999999993,202006
51504,1,,,202004
52260,1,,2.9000000000000004,202002
50040,5,2.3999999999999986,0.09999999999999964,202004
51800,1,0.8000000000000007,,202003
52295,1,0.20000000000000018,,202001
52870,1,,0.09999999999999964,202005
52090,1,0.39999999999999947,,202001
52350,1,1.4000000000000004,,202001
51200,4,,2.999999999999999,202006
51205,1,,0.5999999999999996,202004
51770,5,31.9,,202006
51803,28,118.5,,202002
50935,65,60.0,43.000000000000014,202001
51400,2,,1.1999999999999997,202001
51820,3,2.2,,202006
50971,34,20.799999999999997,3.9000000000000004,202004
53020,7,3.6000000000000005,3.3999999999999995,202001
51180,,,2.1000000000000005,202003
51220,23,3.3999999999999995,36.10000000000001,202002
51320,2,0.3000000000000007,,202005
51815,109,397.3,15.900000000000004,202001
52240,10,16.700000000000003,0.7000000000000002,202003
50140,27,58.49999999999999,1.3999999999999995,202003
51070,1,,0.3000000000000007,202006
52220,3,1.0,5.4,202004
51220,24,,46.5,202005
50040,1,,0.5,202005
51820,1,0.5,,202004
52760,1,0.9000000000000004,,202001
52510,2,1.0000000000000004,,202004
51820,3,0.5,1.6,202002
50518,1,,1.5,202005
51830,1,,2.8000000000000007,202005
51890,9,4.400000000000002,0.3000000000000007,202002
