inPortNo,totalTraffic,totalTrafficCargo,totalTrafficTanker,period
51070,6,3,1,201901
50070,9,7,2,201901
52870,6,0,1,201904
52090,3,2,1,201900
52295,11,9,1,201904
50100,1,0,0,201901
51803,58,55,2,201904
50380,100,48,39,201906
51484,2,0,0,201904
51280,15,5,4,201900
52065,53,23,25,201905
52230,6,3,2,201905
51400,20,9,7,201902
50935,272,113,118,201902
52040,6,3,3,201905
52235,5,2,2,201904
50231,7,2,6,201903
51340,2,0,1,201900
52140,1,1,0,201901
50790,11,2,7,201903
50350,27,6,9,201906
52350,15,8,6,201905
50516,1355,216,1022,201903
51845,170,93,62,201900
51910,21,11,5,201901
50650,7,2,3,201905
50231,4,0,3,201905
52220,15,7,5,201903
52270,6,2,1,201904
50970,477,350,61,201905
52065,46,21,23,201903
51400,18,7,5,201900
53133,15,9,6,201903
53130,7,4,0,201904
50935,312,136,135,201903
51815,249,215,17,201902
52240,36,29,4,201900
52680,1,0,0,201905
51865,6,6,0,201903
50650,6,3,2,201903
52720,43,19,22,201903
50180,4,0,4,201900
51780,1,0,0,201906
53115,28,23,1,201904
51020,7,4,2,201902
50785,137,23,108,201901
52297,3,0,3,201900
52230,7,5,2,201900
52350,12,8,4,201904
51770,34,27,4,201906
51330,1,0,1,201904
51484,1,0,0,201905
53050,5,3,0,201901
52320,110,73,20,201901
52295,10,8,2,201905
50790,12,2,8,201906
51941,39,23,11,201903
52220,8,4,2,201901
52090,3,2,1,201903
51500,3,1,0,201903
52440,1,1,0,201905
50340,41,16,8,201905
50935,274,109,129,201904
53133,15,7,5,201904
53115,23,16,2,201900
52140,3,2,1,201902
52523,3,0,1,201905
50060,152,56,67,201900
52065,41,17,20,201900
51855,14,3,7,201903
52440,2,1,1,201906
52295,13,7,2,201903
50518,13,8,4,201901
50140,99,42,39,201906
50600,7,4,0,201901
52440,2,0,2,201904
noPort,4980,2874,1193,201901
51100,110,38,55,201905
53020,35,11,8,201905
51920,10,3,6,201902
51855,9,4,4,201900
50930,15,3,7,201904
51830,37,10,12,201903
52140,3,0,2,201903
51504,15,3,7,201905
52295,22,19,3,201900
51504,15,3,4,201904
51120,2,2,0,201901
50030,2248,1250,819,201904
50935,278,117,121,201900
52350,8,5,3,201906
51870,63,31,27,201902
50516,1212,178,943,201906
51040,84,57,14,201903
50140,100,51,36,201901
51350,2,0,1,201903
50518,4,3,1,201904
51200,31,5,23,201906
51840,13,2,6,201906
52720,31,8,18,201906
51941,33,19,10,201904
52695,8,1,4,201900
51830,27,8,4,201905
50610,5,0,1,201905
noPort,3294,1894,811,201904
51100,87,25,43,201904
52510,9,3,4,201905
52695,5,0,2,201905
51800,1,1,0,201900
50970,415,301,58,201906
50730,69,40,25,201906
50517,16,6,7,201900
50045,2,0,0,201900
51180,7,2,0,201902
noPort,3390,2033,854,201900
51890,39,24,7,201900
50040,6,2,2,201905
52297,5,1,3,201901
52660,3,1,1,201902
52560,1,1,0,201900
50970,473,341,60,201900
50045,4,0,1,201902
51502,3,0,1,201906
52040,9,5,3,201906
52760,2,0,1,201902
52260,30,11,14,201905
51820,33,10,2,201904
50380,107,61,36,201903
50055,2735,1518,921,201900
50030,2398,1353,904,201903
50350,26,5,12,201905
50517,27,15,6,201903
50930,18,7,4,201900
51865,7,5,0,201906
50610,6,2,0,201900
51205,10,2,6,201906
51770,37,32,2,201903
52230,9,5,3,201906
52220,11,2,7,201905
50450,52,25,26,201906
50330,1,0,0,201900
50060,136,78,38,201902
50970,551,395,71,201903
51254,9,7,1,201900
51010,11,5,3,201900
50440,3,1,2,201904
52510,10,3,2,201903
51320,6,3,3,201904
51020,3,1,1,201904
50060,170,79,64,201904
50120,9,6,3,201901
52440,3,2,1,201903
51941,41,23,12,201906
52760,1,0,1,201905
51860,2,0,2,201906
50340,57,11,11,201901
51205,10,1,1,201901
51910,15,7,5,201905
53050,2,0,0,201904
52235,7,5,1,201901
50040,5,3,2,201901
52760,3,0,1,201903
51865,1,1,0,
50971,241,158,63,201900
51100,104,25,60,201901
50340,39,12,10,201906
51920,11,5,4,201906
50070,3,1,1,201900
52680,2,0,2,201900
50100,2,1,0,201900
51770,46,38,6,201905
52260,25,8,13,201902
50380,99,55,31,201905
53133,12,5,3,201900
50925,11,4,4,201900
50045,5,2,2,201904
51800,4,2,0,201902
51890,40,18,7,201902
50700,5,2,3,201906
50700,4,0,3,201902
51040,83,56,15,201901
50250,2,0,0,201906
53130,7,3,1,201900
50450,56,24,29,201900
52260,25,6,14,201900
50516,1407,224,1058,201901
51020,4,3,1,201900
50040,4,1,3,201903
52260,25,10,14,201901
52870,5,1,2,201900
52870,6,1,3,201901
51205,9,3,3,201902
51340,2,1,1,201904
51890,45,23,6,201906
50518,14,7,7,201905
52940,4,3,0,201902
52940,3,2,0,201903
51855,12,5,4,201906
51180,4,3,0,201906
51205,5,2,1,201905
50932,9,3,3,201906
51815,301,259,18,201903
50040,8,3,3,201904
50055,2913,1586,1001,201905
50300,75,29,33,201900
51205,4,2,2,201903
51010,14,6,4,201901
52510,7,0,2,201901
51920,6,4,1,201905
51100,89,24,47,201902
50517,24,15,6,201902
50070,6,4,0,201906
50518,11,9,2,201900
51070,12,3,7,201906
51810,42,40,2,201902
51180,8,4,2,201905
50600,5,2,2,201906
52660,1,0,0,201905
51200,34,0,31,201900
50610,2,1,0,201903
50932,8,4,2,201903
50100,2,1,0,201906
50610,4,0,0,201901
50250,1,0,0,201900
51500,5,1,0,201905
51770,45,36,6,201901
53115,23,19,1,201905
53133,12,6,4,201901
50518,11,6,5,201902
50045,7,2,2,201905
