inPortNo,totalTraffic,totalTrafficCargo,totalTrafficTanker,period
51205,13,3,4,202000
50700,8,4,2,202000
50650,24,19,4,202000
53000,1,1,0,201909
51205,8,1,3,201909
51320,6,1,2,201911
50100,7,4,0,202000
51130,344,237,68,201908
50730,85,47,32,201911
51803,59,56,2,202000
51254,6,4,2,201909
52235,8,5,2,201911
52235,10,7,2,202000
50450,62,28,31,201907
53020,42,14,7,201910
53115,33,24,4,202000
50516,1574,382,1076,201911
51400,24,9,10,201910
51770,47,42,1,201910
50180,2,0,0,202000
52720,48,12,25,201909
50930,13,6,5,201909
51860,6,1,4,201911
53115,26,20,3,201911
51870,82,34,33,201910
50930,43,26,12,201911
51941,42,23,13,201911
51870,81,39,34,201907
51855,15,6,6,201909
52090,3,1,2,201911
52680,2,0,2,201910
51501,4,1,0,201911
53100,4,3,0,201907
51860,3,1,2,201910
50610,1,1,0,201910
50935,279,115,126,201909
50971,240,156,53,201908
50120,20,8,4,202000
53000,3,1,0,201908
51350,3,2,0,201908
52350,14,10,3,202000
52040,9,4,3,201911
52510,8,2,3,201908
50650,10,8,2,201909
52090,4,2,2,202000
52870,5,0,0,201909
51010,23,6,7,201909
51130,363,241,81,201907
51205,10,2,3,201907
51320,5,2,2,201907
51200,36,2,25,202000
53010,15,9,3,201909
51484,5,1,0,201911
51205,9,1,4,201908
50100,4,2,0,201907
52720,54,18,28,202000
51100,100,26,51,201908
50925,58,38,16,202000
51810,35,34,1,201908
50060,167,75,58,201908
53115,22,16,2,201908
51200,31,3,25,201910
52270,6,4,1,201907
53130,11,3,3,201911
53050,5,2,0,201909
50180,1,0,1,201908
52140,1,0,1,201911
50971,239,167,49,201909
51340,4,2,2,201907
50210,3,1,1,201909
51484,3,1,1,201909
53050,10,1,2,201911
51254,6,3,2,201908
52140,1,0,1,201910
50045,3,1,0,201909
50518,12,8,3,201907
50380,109,54,42,201907
51850,6,3,1,201911
52695,9,1,4,201909
51030,4,1,1,201911
51220,80,20,58,201909
53010,19,14,2,201911
50070,8,5,2,201911
51850,10,6,1,201907
51815,229,194,15,202000
51855,21,9,9,202000
50517,30,10,10,201910
52523,3,0,1,201908
50440,2,1,1,202000
51260,37,0,20,201909
52870,9,2,0,201910
50805,37,17,16,201911
50100,3,0,0,201909
52350,9,5,4,201909
50250,11,7,1,201911
50970,521,365,83,201911
53010,24,17,3,201910
50300,89,34,36,201907
50700,9,5,4,201908
52440,1,1,0,201910
50610,77,60,10,202000
51020,5,2,1,201911
51855,16,6,6,201910
50030,2781,1542,1026,202000
51220,65,19,44,202000
50340,77,39,19,202000
51120,1,0,0,202000
50380,108,57,39,201908
51820,26,8,9,201911
50055,2863,1599,960,201909
53050,4,2,0,201910
51504,22,5,8,201910
51850,3,2,0,201910
50100,6,1,1,201908
50030,2365,1350,836,201907
51800,3,2,0,201910
50930,24,9,7,201907
50045,8,3,2,201910
51870,102,48,36,202000
53010,19,11,6,202000
50441,19,6,5,201910
51330,2,1,1,201911
50510,5,3,0,201911
51400,23,7,8,201907
51220,82,26,54,201911
51845,198,86,83,201910
50785,152,28,114,202000
53020,43,13,12,201909
52260,25,11,13,201910
52720,43,16,19,201908
51845,230,105,83,201907
50300,96,34,37,202000
51820,34,12,4,201910
52940,6,5,0,201910
51180,8,3,1,201907
52680,2,0,1,201909
50650,8,1,5,201907
52523,4,0,1,201907
50805,28,12,10,201908
51810,44,41,0,201909
50340,30,8,7,201907
51800,3,1,0,202000
50440,1,0,1,201910
51803,52,52,0,201910
52240,47,39,4,201909
50040,20,7,4,202000
51220,87,29,55,201908
51260,35,1,21,201907
52560,2,2,0,202000
51502,6,0,0,201911
51504,18,6,4,201908
50790,10,4,3,202000
50120,14,6,4,201908
50517,33,16,8,202000
51890,54,26,8,201907
50971,245,163,58,201907
52720,48,9,28,201911
52240,57,43,10,202000
50120,9,4,1,201909
53020,35,9,8,202000
51502,4,1,1,201909
52235,5,3,1,201908
50517,18,10,6,201907
50650,5,3,1,201911
51340,6,4,2,202000
51890,53,25,11,201911
50210,5,2,2,201907
50350,30,4,15,201909
50925,23,9,10,201911
52320,119,80,27,201908
50600,7,5,1,201911
52220,9,3,3,201909
50785,176,33,132,201910
50935,312,117,152,201910
50785,152,25,119,201909
50045,8,3,2,201911
50140,132,69,45,201911
50250,4,3,0,201908
50650,5,3,2,201910
50650,10,5,5,201908
51120,3,0,1,201907
50610,1,0,0,201909
51941,45,26,12,201907
51810,49,46,1,201910
