inPortNo,totalTraffic,totalTrafficCargo,totalTrafficTanker,period
51910,24,12,7,202007
50300,79,31,27,202011
52090,4,2,1,202100
51840,13,3,2,202010
51501,4,0,0,202009
52760,5,4,0,202007
50930,31,15,10,202009
50441,27,9,8,202011
51254,7,5,2,202007
51850,2,0,1,202007
53050,4,0,1,202100
50517,24,9,5,202007
50231,6,1,2,202100
51120,1,0,0,202100
51200,39,7,26,202008
53100,6,2,1,202008
51010,20,8,5,202008
51254,7,5,2,202011
52295,10,3,4,202008
53050,3,0,2,202011
51810,67,65,0,202100
51100,119,34,60,202010
52660,8,4,2,202008
51830,40,18,4,202009
52240,52,34,7,202008
51260,29,1,16,202009
50510,6,3,2,202009
52940,6,3,1,202009
50785,128,24,99,202010
52720,52,13,25,202011
50932,11,3,4,202011
50180,3,1,0,202007
50790,8,1,4,202009
51070,9,1,3,202009
50518,17,9,3,202011
50510,7,4,2,202010
50250,2,0,0,202011
50970,497,343,75,202010
51070,9,3,3,202008
51180,6,3,0,202009
51855,9,3,3,202011
50925,17,8,5,202010
50971,249,166,53,202011
51840,7,2,2,202009
52270,10,3,4,202008
50935,425,188,175,202007
53115,33,27,2,202100
50700,7,3,4,202007
50045,6,3,0,202011
50180,3,1,0,202011
51504,31,9,5,202009
53115,35,27,2,202010
52720,48,17,19,202008
51920,19,12,6,202008
51320,5,1,2,202007
52270,14,4,3,202010
52260,24,4,15,202007
50935,333,131,158,202011
51500,4,0,1,202009
50730,67,31,27,202100
50210,8,2,3,202009
52510,11,6,2,202100
50100,4,4,0,202010
51484,8,0,3,202008
51910,22,8,9,202100
52090,5,3,2,202007
53100,7,3,1,202010
50180,8,2,4,202010
51330,5,2,1,202011
51941,40,21,15,202011
52760,2,2,0,202010
50450,57,28,24,202100
52720,64,19,31,202100
50700,15,7,7,202008
51340,4,2,2,202010
50330,1,0,0,202009
50100,2,1,0,202009
50210,9,5,3,202011
52320,119,75,24,202009
50785,137,26,103,202008
50700,5,2,2,202011
52760,6,3,1,202100
53020,33,9,12,202009
52695,8,1,4,202010
51803,50,50,0,202007
51330,5,1,2,202009
51502,3,1,0,202010
51910,22,12,5,202009
51890,46,22,9,202008
51780,1,0,0,202007
50971,286,197,61,202100
51020,6,4,0,202009
52260,27,6,17,202008
50250,7,3,1,202008
51770,45,32,6,202008
51260,28,3,13,202010
51340,9,2,4,202011
50925,10,2,6,202100
50970,543,377,88,202009
53100,5,3,1,202009
51870,65,27,23,202009
52940,5,3,0,202100
51855,19,8,6,202008
50518,17,7,8,202009
50805,33,17,13,202010
50120,11,3,3,202009
50610,5,3,1,202007
50600,5,2,0,202100
50600,9,6,2,202010
52065,45,21,15,202009
50250,3,1,1,202007
50055,3020,1601,1102,202009
50516,1483,338,1057,202007
50120,9,2,2,202007
51100,115,33,60,202011
53000,2,2,0,202007
53050,5,1,3,202009
51860,3,1,1,202009
52560,2,1,1,202010
52870,6,2,1,202007
51280,37,16,8,202011
51350,5,2,2,202008
52295,4,3,1,202011
51941,41,23,16,202010
51280,43,19,7,202010
52240,69,47,3,202010
50440,3,0,1,202009
53000,2,1,0,202100
51800,3,1,0,202100
50652,1,0,0,202009
51220,83,20,57,202100
52720,44,14,21,202007
50231,6,0,2,202009
51830,42,12,7,202010
53010,15,6,4,202011
50925,27,12,12,202008
52695,14,0,6,202008
51100,109,30,59,202100
50070,8,4,1,202011
50040,20,2,4,202100
53130,7,4,0,202007
50350,63,24,19,202008
50450,65,35,24,202011
50510,9,5,0,202007
52270,11,2,3,202009
52295,11,3,4,202100
51330,5,1,2,202007
53133,17,11,3,202100
52870,8,1,2,202009
51910,24,13,6,202010
52660,1,0,0,202100
51780,1,0,0,202100
50030,2728,1352,1177,202100
51770,38,30,2,202011
50045,7,2,1,202009
50231,5,0,2,202008
52350,15,10,4,202007
50971,244,158,44,202009
51130,428,266,98,202007
53010,13,7,1,202010
51870,74,28,25,202008
52040,5,1,4,202011
51120,1,0,0,202009
51504,17,6,4,202008
50441,21,6,7,202100
51254,9,7,1,202008
51770,43,35,4,202100
51941,37,22,12,202008
51910,25,15,5,202011
52240,50,32,7,202007
52270,8,1,2,202100
50350,72,33,18,202007
51780,1,0,0,202009
53000,2,2,0,202009
50518,19,11,5,202010
50785,114,22,85,202009
51254,10,8,2,202100
50518,24,6,15,202007
52235,4,2,2,202008
50971,235,157,46,202010
51130,421,267,91,202008
52297,7,1,5,202010
51850,4,2,0,202009
50935,358,130,170,202100
53100,6,2,2,202007
52695,6,0,4,202007
51855,15,8,2,202009
52260,35,8,20,202010
53010,19,11,3,202100
50231,2,0,1,202011
51820,31,16,4,202008
50805,30,13,12,202009
51504,21,9,2,202007
51100,122,34,58,202008
52270,9,3,2,202011
53130,12,7,1,202011
51030,3,1,1,202007
50650,8,2,4,202007
52440,2,0,1,202100
50070,9,3,2,202007
51260,33,2,17,202008
50652,1,0,0,202008
51815,202,161,24,202010
50250,6,5,0,202100
52680,9,4,2,202007
51501,5,1,2,202010
51860,5,2,1,202010
50120,8,4,3,202011
51840,17,2,11,202011
50441,26,5,9,202009
50440,1,0,1,202011
51865,8,5,2,202009
50440,2,0,1,202010
50970,556,369,93,202008
52440,3,1,1,202011
50790,14,2,8,202100
52230,13,10,1,202100
51865,8,4,3,202008
50180,2,0,1,202009
51770,31,25,2,202009
50510,6,3,1,202011
50610,2,1,0,202100
50040,18,3,2,202007
51845,238,100,87,202010
51040,85,62,14,202007
51855,17,6,5,202007
52230,13,8,4,202011
52695,8,1,5,202011
50120,10,3,2,202100
50210,11,2,3,202010
52040,5,0,2,202009
50930,17,7,6,202011
50070,8,6,1,202010
50790,8,2,5,202010
50510,5,3,1,202100
50518,19,10,7,202008
50330,1,0,0,202011
51400,22,9,8,202010
51010,18,5,6,202010
51070,13,6,4,202100
52295,10,4,4,202010
50785,127,22,98,202007
50140,95,45,33,202008
51500,6,1,0,202007
50650,11,7,2,202009
51501,2,0,0,202011
51840,15,4,7,202008
50971,245,161,49,202008
50340,64,30,12,202007
50300,81,32,27,202009
52760,6,4,0,202009
51845,219,99,83,202007
51815,180,139,23,202008
50350,69,27,24,202009
51920,14,5,5,202009
50785,132,26,103,202100
52297,4,0,2,202011
53133,17,10,4,202009
52510,11,4,2,202008
51320,6,3,3,202010
50380,91,47,34,202008
51860,3,1,2,202007
51120,2,0,0,202007
50610,3,0,1,202010
50055,2919,1551,1065,202011
50380,110,54,47,202011
51820,28,12,0,202009
52140,1,0,1,202007
51180,7,5,3,202011
50045,5,0,0,202010
52523,4,0,2,202008
53133,17,8,4,202008
51350,5,2,2,202007
50070,11,6,2,202100
52350,12,6,6,202011
50300,77,23,29,202007
51100,132,32,66,202009
51910,14,5,5,202008
50932,21,14,4,202007
51205,12,5,2,202008
50441,27,5,8,202010
50517,26,12,8,202100
51350,4,0,3,202011
51040,86,63,17,202008
52440,2,1,1,202007
52870,9,2,2,202100
52510,10,5,4,202010
51040,83,59,12,202100
51920,12,4,5,202100
51830,53,24,5,202007
51280,39,21,5,202008
50650,8,3,3,202100
52480,1,1,0,202100
51770,40,30,4,202007
51220,79,27,44,202008
51890,50,26,10,202007
51200,40,6,26,202009
53115,30,24,2,202009
51254,7,6,1,202010
51845,266,117,99,202011
51205,8,5,1,202010
52523,5,3,1,202009
52297,7,0,5,202007
50785,127,19,97,202011
50060,207,76,105,202010
51803,52,49,2,202011
51200,33,2,26,202011
50070,4,4,0,202008
51010,17,7,5,202007
50517,27,10,10,202010
52680,3,2,1,202009
52870,5,0,2,202011
51780,1,0,0,202010
noPort,4240,2334,1197,202007
52660,5,1,1,202011
52220,9,6,0,202100
51020,3,1,0,202007
51070,14,5,5,202011
51770,39,30,3,202010
52350,20,15,4,202009
52230,6,4,2,202008
51484,4,0,1,202009
50045,6,0,1,202008
52480,1,1,0,202007
51180,6,4,0,202008
50441,22,5,7,202008
50516,1470,327,1026,202010
50935,415,180,172,202008
51870,74,41,22,202010
51850,4,0,1,202008
52560,2,0,1,202007
51810,46,43,1,202009
50380,103,48,43,202007
50030,2807,1545,1064,202008
53000,2,2,0,202008
50055,3033,1646,1112,202007
52510,15,8,2,202009
52510,14,5,4,202007
52295,11,6,3,202009
52760,5,3,0,202008
51220,85,26,54,202010
51130,438,295,90,202100
53010,13,9,2,202008
50930,25,13,8,202010
53010,16,8,3,202009
50180,3,2,0,202008
52320,119,67,31,202011
50932,18,7,7,202008
51820,22,10,1,202100
52720,42,12,21,202010
53115,29,23,2,202008
52350,14,8,4,202100
51501,4,2,0,202100
51941,32,18,11,202009
51890,40,20,9,202100
50650,6,4,0,202010
51030,3,1,0,202009
50140,96,41,35,202009
52680,6,2,2,202008
51500,3,0,0,202010
50340,45,16,7,202011
52297,10,2,5,202100
51870,83,36,30,202011
50790,18,1,7,202011
51860,3,1,1,202100
51920,9,1,7,202011
51200,35,3,28,202010
51803,52,48,3,202008
50045,6,1,0,202007
51280,31,14,5,202100
50730,77,37,35,202008
51870,83,39,30,202100
50100,4,2,1,202011
51030,3,0,2,202011
50340,56,29,8,202008
51020,2,1,0,202010
51890,47,24,12,202011
53020,40,13,9,202010
52940,6,4,1,202007
52140,1,1,0,202011
51260,31,2,16,202100
52090,6,3,3,202008
51205,18,10,3,202011
50040,17,2,4,202008
52870,7,1,2,202010
50300,79,33,25,202008
53100,6,2,1,202011
52680,5,1,2,202100
50730,79,39,29,202010
52270,7,2,2,202007
noPort,4047,2184,1152,202008
52230,10,6,4,202009
51865,7,4,1,202100
50700,9,4,4,202100
50250,4,1,0,202010
51020,4,3,0,202011
50070,12,6,4,202009
52090,4,2,2,202009
53020,38,9,11,202011
50100,2,0,0,202007
50700,11,7,3,202009
51502,4,0,1,202009
50935,459,204,183,202009
50930,16,5,6,202100
50925,12,7,3,202007
53130,13,6,2,202008
51815,184,146,27,202011
50517,21,6,7,202009
51500,3,1,0,202011
noPort,4016,2162,1161,202010
50450,59,32,22,202010
50055,3005,1620,1100,202008
50970,535,364,91,202100
51260,30,2,16,202011
52350,19,12,7,202008
51855,12,6,3,202100
52230,6,4,2,202007
51810,52,50,0,202010
51830,52,23,6,202008
