inPortNo,totalTraffic,totalTrafficCargo,totalTrafficTanker,period
51330,4,1,1,202008
52940,5,4,0,202011
51800,3,1,0,202009
50060,230,87,116,202100
50450,63,32,23,202007
51040,81,60,17,202009
51040,82,62,13,202010
50180,7,4,1,202100
52260,30,3,17,202009
52870,5,1,0,202008
50652,2,0,1,202007
50030,2777,1450,1116,202011
51350,6,2,2,202009
50925,11,4,4,202011
50210,7,4,1,202008
51840,10,1,6,202007
51205,12,3,5,202009
50650,7,5,1,202011
51504,27,8,6,202010
51280,39,19,8,202009
52040,7,0,5,202008
50932,19,9,7,202010
50380,122,63,50,202100
51800,7,3,0,202008
50517,22,6,8,202011
52090,2,2,0,202011
51920,13,6,4,202007
53020,36,9,9,202100
51803,45,44,1,202009
51830,40,19,6,202011
52660,4,2,0,202010
50790,9,1,6,202008
51330,3,1,2,202010
52560,1,0,0,202008
50517,23,9,6,202008
50380,111,53,49,202010
50518,12,6,4,202100
52350,18,12,6,202010
51845,238,121,80,202008
51820,22,9,2,202011
52680,2,1,0,202010
51030,6,3,2,202100
51400,20,6,8,202008
51350,4,1,2,202010
52235,5,3,1,202009
52260,24,4,16,202011
52940,5,2,1,202010
50790,12,1,9,202007
noPort,3858,2152,1048,202100
50925,16,8,5,202009
51890,41,24,4,202009
52297,9,1,8,202009
53130,12,6,2,202009
52440,3,1,1,202009
50516,1483,337,1022,202011
50516,1453,286,1064,202009
50805,42,19,13,202011
51501,6,0,0,202007
52065,53,24,21,202008
50340,45,15,12,202100
50300,76,35,25,202100
51504,19,5,5,202011
51130,418,274,86,202009
51280,45,26,9,202007
51800,4,0,0,202010
52320,122,75,26,202008
52320,119,70,27,202100
50600,10,6,2,202009
51500,4,1,0,202100
53020,38,10,10,202008
51340,6,3,2,202008
51865,8,5,2,202011
52240,67,50,5,202011
51810,57,54,2,202007
50805,32,16,15,202008
51400,27,7,11,202009
51020,5,3,0,202100
51815,208,177,14,202100
52065,55,28,19,202007
52660,3,2,0,202009
53050,2,1,0,202010
53115,37,28,2,202011
51815,187,151,17,202007
50450,65,37,20,202009
51820,30,12,3,202007
51810,51,47,1,202008
52240,65,46,5,202009
50120,8,3,0,202008
52235,6,3,1,202011
50030,3097,1803,1121,202007
53130,12,7,2,202010
52560,4,1,0,202100
51941,33,20,10,202007
51850,5,1,2,202010
50970,496,344,67,202011
50250,7,1,2,202009
51400,24,9,9,202100
50140,95,45,34,202011
51040,86,60,16,202011
52695,9,0,7,202009
51501,6,0,1,202008
50210,8,3,2,202007
51180,5,4,0,202010
51254,11,7,2,202009
51800,3,1,0,202011
51100,114,31,55,202007
51504,23,9,8,202100
53130,16,7,4,202100
51200,39,4,24,202007
51850,3,1,1,202100
51130,417,278,84,202010
50040,24,6,4,202010
51803,52,47,2,202100
51320,6,3,3,202011
52720,46,12,22,202009
50060,197,71,94,202009
51484,3,1,0,202007
50330,3,0,0,202007
50600,8,7,0,202008
52320,112,65,25,202010
50730,69,35,26,202007
50350,31,7,8,202011
52235,5,4,1,202100
50650,8,6,1,202008
53000,2,2,0,202011
50055,2950,1585,1078,202010
51400,24,8,12,202007
51340,4,2,2,202009
51803,53,49,2,202010
51010,22,8,6,202011
50932,21,10,8,202009
52760,2,2,0,202011
51502,2,0,1,202100
51865,8,6,2,202010
52510,10,4,3,202011
51850,3,2,1,202011
51330,3,0,1,202100
51890,41,18,11,202010
51500,5,1,0,202008
51815,164,131,20,202009
52220,11,7,2,202007
50040,18,4,3,202011
51810,50,46,2,202011
50140,98,44,33,202007
52240,67,44,5,202100
53050,3,0,2,202007
noPort,3863,2075,1123,202011
52660,5,2,1,202007
50350,67,33,20,202010
52523,3,0,2,202011
50210,12,7,2,202100
52320,110,57,28,202007
52260,27,6,16,202100
51941,42,28,11,202100
51290,2,2,0,202008
52220,11,4,5,202010
50730,68,29,30,202011
51205,9,5,2,202100
51030,3,1,0,202010
51920,11,4,5,202010
52523,3,2,0,202100
50510,4,1,1,202008
51180,7,4,1,202007
50045,10,2,2,202100
51502,1,0,0,202011
51840,9,3,3,202100
52440,3,1,2,202008
52560,1,1,0,202009
50340,60,25,12,202009
50935,410,172,173,202010
noPort,3989,2141,1138,202009
51830,47,22,3,202100
50805,41,16,17,202007
53133,15,7,3,202007
52065,42,24,13,202100
51220,75,19,51,202011
51845,265,123,88,202100
50600,8,5,0,202011
50600,10,4,4,202007
51780,1,0,0,202011
52295,10,6,1,202007
50450,62,31,24,202008
50700,8,2,5,202010
50140,112,53,39,202010
53133,15,7,4,202010
51120,1,0,0,202010
53010,18,13,1,202007
51020,2,1,0,202008
52090,6,5,1,202010
50100,7,5,0,202100
51220,82,25,49,202007
51205,8,4,1,202007
52235,7,3,2,202007
51320,5,3,2,202100
50060,211,88,96,202011
50930,31,14,11,202007
51845,228,101,75,202009
50932,11,5,5,202100
52220,12,4,5,202008
51010,25,8,6,202009
52140,2,1,1,202008
51350,3,1,2,202100
50140,115,68,32,202100
50300,85,30,30,202010
50350,35,8,12,202100
51010,24,7,7,202100
51320,9,3,4,202008
51220,87,25,56,202009
50060,198,81,93,202008
50971,263,172,54,202007
51180,9,5,1,202100
52235,6,4,1,202010
52040,3,1,1,202010
51320,8,2,2,202009
50030,2772,1492,1048,202009
51865,8,4,3,202007
52560,4,2,0,202011
50440,2,0,2,202008
52040,6,2,4,202007
50516,1411,306,1025,202008
50120,19,11,4,202010
51855,15,5,6,202010
53100,5,2,1,202100
52040,5,2,1,202100
51502,5,1,1,202008
50030,2783,1512,1069,202010
51820,35,12,6,202010
50231,3,0,2,202007
52220,8,5,2,202009
52695,8,1,3,202100
51120,1,0,0,202008
50380,100,49,44,202009
51800,5,3,0,202007
52680,6,1,1,202011
51340,6,4,2,202100
51200,37,3,27,202100
50930,34,16,14,202008
50340,50,14,11,202010
52523,3,1,0,202010
52230,8,6,1,202010
50441,15,3,7,202007
50440,2,1,0,202100
51502,2,0,0,202007
50060,195,81,95,202007
51070,10,1,4,202007
51290,2,1,0,202009
53050,6,1,2,202008
50805,57,29,19,202100
52065,48,25,15,202010
53133,17,8,4,202011
50610,4,2,1,202008
51290,2,1,0,202010
51070,7,2,1,202010
51130,414,278,84,202011
50516,1480,307,1071,202100
52220,7,4,2,202011
52940,8,5,1,202008
50730,83,45,33,202009
52065,46,24,16,202011
50610,2,2,0,202011
51340,3,2,1,202007
51860,6,2,2,202008
51484,1,1,0,202100
51400,28,10,10,202011
53020,30,8,8,202007
50610,6,4,0,202009
52480,1,1,0,202008
52440,2,0,1,202010
50100,3,1,0,202008
51860,2,0,2,202011
51260,28,0,16,202007
52297,8,0,7,202008
50055,3051,1622,1143,202100
51870,73,27,26,202007
53115,27,20,2,202007
50231,5,0,2,202010
50970,507,338,85,202007
52523,5,1,2,202007
50040,20,4,2,202009
