inPortNo,totalTraffic,totalTrafficCargo,totalTrafficTanker,period
51815,183,151,16,202004
52040,4,0,3,202004
52440,1,0,0,202001
52240,48,34,9,202002
50610,4,3,0,202003
50930,39,20,17,202005
50250,7,2,2,202003
51220,81,23,54,202002
52240,59,45,7,202003
51815,245,203,23,202001
51320,7,2,2,202005
50650,9,4,1,202004
51180,9,5,3,202003
50350,101,47,33,202001
51941,43,29,13,202005
50380,110,60,41,202002
50055,2972,1626,1060,202004
52870,10,1,3,202004
50805,34,17,13,202006
50600,10,7,2,202001
51803,47,43,1,202004
52040,8,1,6,202005
52297,7,0,4,202003
50250,1,1,0,202005
50100,2,0,0,202001
50516,1643,387,1147,202001
51941,39,24,12,202004
51920,20,9,7,202002
52220,8,4,3,202002
51070,4,2,2,202001
52320,120,67,38,202001
50045,10,5,3,202001
51010,18,5,4,202005
51020,2,1,0,202004
50450,72,42,26,202004
50517,21,5,6,202004
50971,238,157,53,202001
50140,139,65,50,202001
51770,31,23,1,202004
52523,1,0,0,202006
52065,59,24,24,202004
50060,146,69,54,202004
51100,110,35,50,202005
51860,4,0,1,202005
52090,4,1,3,202005
50340,58,28,15,202002
50210,9,4,1,202005
51130,428,287,86,202004
50055,2900,1514,1111,202005
51941,45,29,13,202003
51941,39,25,12,202006
51501,1,0,0,202005
51020,5,1,1,202002
52260,26,5,18,202006
53115,29,23,1,202002
51850,6,2,2,202002
50231,4,0,3,202006
50030,3000,1658,1140,202003
50030,2823,1503,1137,202006
52260,26,11,13,202004
51200,34,2,25,202003
52090,6,4,2,202003
51280,37,16,7,202004
50700,9,6,2,202001
52480,2,1,0,202005
52760,5,2,1,202003
51845,235,93,91,202004
50517,25,10,10,202002
52270,6,2,3,202006
52523,10,1,3,202002
51350,1,0,0,202005
52140,1,0,1,202001
52523,5,1,2,202005
52680,3,1,0,202003
51180,6,3,2,202001
52240,47,31,9,202006
51030,3,1,0,202001
51180,7,4,1,202006
51100,103,23,58,202001
50120,6,1,2,202006
52065,57,26,21,202002
51130,395,264,81,202002
51010,22,10,7,202003
50231,5,0,2,202004
51845,227,93,94,202002
noPort,4152,2356,1052,202003
51220,97,26,67,202004
50300,96,38,37,202003
50330,4,0,0,202006
51941,45,24,12,202001
52660,6,4,1,202003
52720,48,14,21,202003
52660,5,3,1,202005
52320,117,70,32,202002
52240,57,39,9,202005
50790,8,1,5,202003
50070,8,6,0,202006
51200,40,0,29,202002
50441,25,9,8,202004
52350,14,6,6,202003
51830,37,13,3,202005
50785,114,20,87,202004
51810,55,53,0,202003
53133,14,7,4,202002
51254,6,6,0,202006
50970,520,369,84,202003
51100,108,34,54,202006
51810,53,52,0,202006
51870,73,29,30,202005
50600,7,4,0,202004
51010,14,5,4,202004
51910,23,13,4,202003
50510,6,1,2,202003
50730,75,30,36,202002
50805,41,19,17,202002
50040,17,3,3,202006
51502,3,0,0,202005
51340,3,1,1,202005
52940,8,4,2,202002
50070,7,2,1,202003
51280,61,36,12,202001
51254,5,3,1,202004
52230,8,5,2,202003
52680,9,5,2,202001
50785,108,20,84,202006
50045,13,2,2,202003
50441,25,9,10,202002
51920,14,7,5,202004
51845,209,101,62,202005
51200,37,3,26,202005
52235,8,3,2,202003
51910,19,14,4,202002
50925,20,9,9,202006
51070,8,3,3,202002
50730,66,42,20,202003
53133,16,8,4,202005
noPort,4252,2395,1118,202002
51010,21,7,5,202002
50330,1,0,0,202001
50925,30,11,14,202003
52090,5,1,4,202006
53115,30,24,2,202006
51855,13,6,2,202006
50971,262,173,55,202002
51260,31,1,20,202005
51320,11,2,5,202004
51855,11,3,4,202005
50120,9,4,2,202002
50100,1,1,0,202003
50510,3,0,1,202005
50231,6,0,3,202001
52297,6,0,4,202006
52940,6,3,0,202005
53100,4,1,1,202001
50140,135,68,45,202002
51130,435,293,87,202003
51130,415,269,89,202006
50785,118,31,80,202005
50330,1,0,0,202002
51770,45,40,1,202002
50180,4,0,1,202005
50380,117,62,42,202004
51840,14,1,4,202003
51865,6,5,1,202003
50600,7,1,2,202006
50045,4,0,1,202006
51020,4,2,0,202005
51400,16,7,5,202005
53020,44,11,11,202002
51855,10,4,3,202004
51803,46,44,2,202005
51803,58,55,1,202003
51220,87,25,56,202003
51840,8,1,6,202005
51484,6,1,1,202001
50070,4,3,0,202001
50805,38,18,15,202001
51502,3,0,0,202001
51120,1,1,0,202001
50932,34,14,12,202001
51504,15,4,3,202005
51120,2,1,0,202002
51320,6,1,3,202001
50300,88,36,35,202004
51840,24,3,14,202002
52090,7,4,3,202004
51504,26,8,3,202001
51320,5,2,3,202003
52660,6,5,1,202001
51501,4,0,2,202001
