inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
51040,18,15,3,202009
51040,15,12,2,202010
52260,1,,1,202009
50380,31,16,13,202100
50517,7,,7,202011
52090,1,1,,202011
52695,1,,1,202010
53020,5,1,3,202009
51803,21,21,,202007
50970,171,150,10,202009
51855,2,2,,202008
51870,16,12,3,202009
50925,1,1,,202009
51890,9,9,,202009
52440,1,,1,202009
53130,1,,,202009
noPort,744,513,194,202100
50600,1,1,,202009
51865,4,4,,202011
52320,26,21,5,202008
52320,13,10,2,202100
53020,6,3,2,202008
51280,3,1,,202010
51800,1,1,,202100
51941,11,8,3,202010
52240,8,6,1,202010
50030,937,677,237,202007
53130,1,1,,202010
50030,679,479,179,202100
51770,9,9,,202011
52350,3,3,,202007
50518,7,1,6,202007
50518,1,1,,202010
50785,53,6,46,202009
51254,4,4,,202100
52235,1,1,,202008
50971,21,16,5,202010
51130,157,124,23,202008
51850,1,1,,202009
50070,1,1,,202007
51260,9,1,8,202008
51815,85,75,9,202010
50140,28,18,6,202007
52660,1,,,202007
noPort,936,627,262,202011
51040,15,10,3,202007
51845,66,38,22,202010
51855,1,1,,202007
52295,1,1,,202007
51941,5,4,1,202007
51220,29,3,25,202007
51320,1,,1,202100
52235,2,2,,202007
50231,1,,1,202100
50517,7,6,1,202007
50060,63,32,27,202011
51845,66,39,22,202009
50140,18,13,3,202010
51020,1,1,,202008
52090,1,1,,202010
53010,4,3,,202007
53133,2,1,,202010
52235,3,3,,202010
50030,692,491,185,202010
51820,1,,1,202010
52220,2,1,1,202009
51070,1,,1,202011
52220,1,1,,202100
noPort,1166,804,308,202007
50516,373,43,321,202010
50935,64,20,38,202008
51870,20,13,7,202010
50055,1045,695,317,202007
52510,1,1,,202009
50180,1,1,,202008
51130,126,99,18,202100
51220,21,,19,202010
53010,4,3,,202008
53010,4,2,,202009
50300,22,8,10,202011
50970,162,139,13,202007
51840,1,,1,202010
51910,3,2,1,202007
50790,2,,2,202011
51870,21,14,6,202011
51920,1,,1,202011
51865,3,2,,202100
52230,1,1,,202009
noPort,1074,740,265,202008
50700,1,,1,202007
50935,81,26,48,202007
53115,9,9,,202100
50518,3,,3,202009
50600,1,1,,202010
50610,1,1,,202007
50805,12,9,2,202010
50055,1067,699,329,202008
50450,7,4,3,202010
50970,132,112,17,202100
51260,4,,3,202011
52350,4,4,,202008
noPort,997,666,270,202010
50441,3,2,1,202008
50060,72,36,34,202007
53050,1,,1,202008
50971,21,12,6,202011
51840,1,,1,202009
52270,1,,,202008
51320,1,,,202007
51504,1,,,202009
51920,4,2,2,202008
52260,4,1,3,202007
52270,2,,1,202010
52720,10,3,5,202008
53115,7,5,1,202010
52240,9,8,,202011
50210,3,2,1,202011
50785,62,11,48,202008
52320,21,19,3,202009
50030,771,535,207,202011
50650,1,1,,202011
51205,1,,1,202009
50650,1,1,,202008
51100,26,8,16,202008
50790,2,1,1,202008
51803,21,21,,202009
51830,8,6,2,202011
51920,1,,1,202007
52560,1,,,202008
53020,4,,1,202100
50300,17,7,9,202100
50340,3,1,2,202100
51504,1,,1,202011
52065,7,2,5,202008
50140,21,16,5,202011
51130,160,132,18,202009
51280,7,6,1,202007
50510,1,1,,202011
51770,10,10,,202009
51100,26,6,16,202007
51200,6,,6,202007
51504,2,,1,202100
51850,1,,1,202100
53130,1,1,,202100
51330,1,,,202008
51800,1,1,,202009
50380,40,22,14,202010
50518,2,1,1,202100
50441,5,1,3,202009
51840,1,,1,202011
51865,2,2,,202009
51910,1,,,202010
52870,1,1,,202009
50040,1,,,202010
51130,178,141,28,202010
51260,4,,4,202010
51770,16,14,1,202008
51941,3,2,1,202100
51815,54,52,1,202100
52065,9,4,6,202007
52660,1,1,,202009
51500,1,,,202008
51890,6,2,3,202010
50350,2,1,1,202010
50300,28,12,10,202009
50340,4,,4,202007
50971,29,20,8,202008
51840,1,,1,202008
51180,1,1,,202007
50517,6,3,3,202010
51010,1,,1,202007
52680,1,,1,202009
52235,2,2,,202009
52260,1,,1,202011
52940,1,,,202010
51820,1,1,,202011
51845,79,57,19,202008
52350,2,2,,202010
50300,26,8,15,202007
51100,35,6,23,202009
51910,4,,3,202008
50340,2,,2,202009
51120,1,,,202007
51205,1,1,,202008
50805,5,4,1,202008
51400,2,1,,202009
51810,32,31,,202007
50350,2,,1,202009
51815,71,60,10,202008
51845,63,37,24,202007
51920,2,,1,202009
52560,1,1,,202011
50517,6,3,3,202009
51815,83,71,11,202011
51890,6,6,,202100
51941,4,1,3,202009
51865,3,3,,202010
52510,1,1,,202011
51260,2,,2,202007
51040,10,8,1,202008
52510,2,2,,202010
50380,36,20,12,202009
51800,1,1,,202007
51200,5,,4,202009
51220,25,5,19,202008
51770,12,12,,202007
51890,4,4,,202007
50517,5,3,2,202008
50340,3,2,1,202008
51205,1,1,,202010
51845,94,55,33,202011
52523,1,1,,202009
50060,63,29,30,202100
50450,18,11,5,202007
