inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
50060,48,33,15,201904
50120,1,1,,201901
51941,6,5,1,201906
50441,5,3,1,201905
50650,1,,1,201902
51010,2,,2,201906
51910,1,,1,201902
51910,3,2,1,201904
51260,2,,2,201900
52240,3,3,,201906
50055,1092,720,317,201905
50300,12,2,7,201900
51010,1,,,201901
51205,1,1,,201903
51350,2,2,,201901
50180,1,,1,201902
50300,22,14,8,201902
51820,4,2,,201901
53020,3,2,,201903
51504,3,1,2,201901
51830,1,,1,201903
51200,12,,12,201904
51830,3,1,2,201904
50971,40,32,5,201905
51870,20,11,8,201906
51941,11,5,4,201901
51803,23,23,,201903
51820,1,1,,201904
52260,6,2,4,201905
50300,23,10,13,201903
50350,3,,2,201903
50730,18,9,7,201902
52350,1,1,,201903
53020,5,2,1,201900
50517,6,5,1,201902
51100,25,7,18,201902
50517,4,2,1,201900
50730,8,5,3,201906
50970,88,73,9,201906
50517,3,2,1,201901
51845,62,31,26,201903
52320,14,12,2,201906
53050,1,,1,201900
50517,6,5,1,201904
50790,1,,1,201902
51260,4,1,2,201902
53010,2,2,,201900
53133,1,1,,201905
51260,3,,3,201906
52440,2,1,1,201901
noPort,1114,789,223,201902
51100,25,10,11,201904
noPort,847,598,211,201904
51220,21,2,19,201905
51850,1,1,,201901
50805,6,,4,201902
51220,25,1,24,201904
51040,13,10,,201900
52350,1,1,,201900
50060,46,24,20,201903
51845,47,26,18,201906
52230,3,2,1,201902
53115,5,5,,201904
51815,53,49,3,201906
noPort,670,448,167,201906
50930,1,1,,201902
50070,2,2,,201903
50970,141,110,11,201901
51340,1,1,,201905
52295,1,1,,201902
50055,957,657,260,201906
50441,2,,2,201906
50517,8,7,1,201905
51010,2,2,,201904
52350,1,1,,201901
50518,2,1,1,201906
51815,105,94,9,201905
52065,12,4,7,201902
50340,2,1,,201900
50971,33,24,6,201903
50070,2,2,,201901
52870,1,,,201904
50510,1,,,201906
51845,76,48,26,201902
51400,2,,1,201903
51855,1,,1,201904
53020,4,2,2,201901
50971,32,24,7,201902
51850,2,2,,201904
52040,1,1,,201901
51254,1,,1,201902
50140,22,17,2,201901
50516,296,16,264,201906
50518,2,,1,201904
51040,14,9,3,201903
51870,21,13,8,201902
50790,1,1,,201905
50925,1,,,201901
51220,21,1,20,201906
50380,25,17,8,201906
51803,27,26,,201904
50030,551,352,177,201902
52235,3,3,,201902
52240,6,5,1,201901
52260,7,1,5,201903
52260,3,,3,201904
53115,2,2,,201906
50516,347,29,297,201901
50450,19,9,10,201903
51280,1,,1,201906
52220,1,,1,201904
noPort,921,641,219,201905
51130,77,62,12,201900
51865,5,5,,201902
53115,9,10,,201901
50210,1,,1,201900
50805,1,,1,201906
50030,555,377,173,201900
50380,28,17,11,201904
