inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
51130,159,129,20,202001
51200,9,,8,202004
52065,8,2,5,202005
51200,6,,5,202005
51845,56,36,14,202005
51910,1,1,,202004
50790,2,1,1,202003
52240,8,7,1,202005
52320,31,21,10,202002
50970,149,117,20,202001
52260,2,,2,202003
50350,3,,2,202003
51180,4,3,1,202004
51254,2,1,,202001
51770,12,10,1,202001
52270,,1,,202004
53020,3,1,,202006
51910,2,1,,202002
50516,370,40,322,202005
51220,24,,23,202006
51865,1,1,,202004
52295,1,,1,202006
noPort,921,627,261,202005
51260,3,,3,202003
51400,2,,2,202002
51010,2,2,,202002
noPort,1214,831,307,202002
50935,66,27,39,202003
51890,9,7,1,202002
53133,1,,1,202001
50970,145,121,17,202005
51845,45,23,15,202006
52235,2,1,,202004
53130,1,,,202005
50971,23,15,6,202002
51260,2,,2,202005
51320,2,1,,202004
50785,42,5,36,202004
51254,2,2,,202006
51810,25,23,,202003
53133,2,,1,202002
51815,112,99,11,202003
50300,21,8,10,202001
51040,11,7,3,202003
51810,20,19,1,202005
50441,8,4,3,202005
51280,4,1,2,202005
51800,1,,,202004
50040,2,2,,202003
50785,49,8,40,202001
50140,34,26,7,202002
50785,45,6,39,202005
51130,167,134,21,202003
51130,143,106,24,202006
50180,1,,1,202006
52230,1,,1,202002
52350,4,2,2,202002
50785,55,6,48,202003
51920,3,1,2,202006
52297,1,,1,202004
50380,46,29,13,202004
51770,17,16,,202002
51840,2,,2,202003
51865,2,2,,202003
50441,6,4,2,202006
50935,63,25,34,202004
51220,24,,24,202005
50517,5,3,2,202005
51010,1,,,202001
53100,2,1,,202003
50055,1043,685,311,202003
53010,4,2,1,202004
50231,1,,1,202001
51205,1,,1,202006
51254,1,1,,202005
51500,1,,,202003
51815,64,55,8,202005
51840,3,1,2,202004
50805,11,8,3,202001
51220,28,3,25,202003
51803,19,19,,202003
51803,17,17,,202005
51840,3,,3,202005
53020,3,,1,202002
51910,6,3,2,202005
50700,1,,1,202005
50100,1,1,,202004
50450,18,8,5,202002
50441,7,5,1,202003
51320,1,,1,202001
50055,1094,741,308,202002
51400,2,,,202003
51865,4,4,,202005
51865,4,4,,202001
51910,2,,2,202001
51254,1,1,,202003
51815,43,36,6,202006
52235,2,2,,202002
52870,1,1,,202002
51920,3,,3,202001
50300,18,6,10,202006
