inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
52220,1,,1,201907
52297,1,,,201910
50120,1,,,201910
50518,3,2,,201907
50070,1,1,,201911
51850,4,3,,201907
50350,6,1,5,201911
51040,10,7,2,201908
51865,5,3,,201907
51010,2,1,1,201911
52230,1,1,,201909
51941,8,7,1,201909
52235,3,3,,201911
52235,1,1,,202000
51400,2,,1,201908
51920,4,2,2,201910
52230,1,1,,202000
53020,6,2,2,201908
50210,1,,1,201908
51290,1,,,201909
50510,1,,,202000
51400,2,,,201911
51890,3,3,,202000
52523,1,1,,202000
51850,1,1,,201909
51800,5,5,,201907
50450,15,9,5,202000
50805,2,1,1,202000
51910,4,,3,201909
53010,5,5,,201907
50441,5,3,2,201907
50790,2,1,1,201908
52235,1,1,,201907
50350,2,1,1,201909
52220,3,1,2,201909
52320,25,20,2,201908
51870,33,19,13,201907
51870,28,17,11,201910
51941,9,6,2,201911
52090,1,,1,201911
52680,1,,1,201910
53115,1,1,,201911
50650,2,2,,201909
52350,2,1,,202000
50805,7,4,3,201909
51260,2,,2,202000
51865,5,4,,201911
50380,43,25,14,201907
51850,1,1,,201911
52695,1,,1,201909
50340,2,,2,201909
50350,2,,2,202000
50700,1,,1,201910
50932,1,,1,201911
53010,6,5,,201908
51260,6,,4,201910
53133,1,1,,201908
51254,1,1,,201910
51010,1,,,201907
52240,6,5,1,201910
52695,2,,1,201911
50120,1,,1,201907
51260,5,,2,201911
50231,1,,1,201907
52040,1,1,,201910
50070,2,2,,201910
50971,25,19,5,201910
51820,4,1,1,201909
52090,1,1,,201908
52320,19,14,4,202000
50730,20,12,7,201910
52065,8,5,2,201909
52350,1,,1,201911
52695,1,,1,202000
53130,1,,,201909
50030,745,519,205,201907
50785,35,6,27,202000
51220,30,5,25,201911
51400,4,,2,201907
51845,61,32,23,201910
52260,3,,2,201910
52720,10,2,5,201908
53020,10,3,3,201909
50030,769,538,209,201911
50730,23,11,12,201908
51815,107,98,10,201909
51840,1,,1,201909
51501,1,,,201911
51200,9,,8,202000
51205,3,1,2,201908
51484,1,,,201911
53010,4,5,,201909
51254,2,2,,201908
51070,2,1,,201908
51280,4,,4,201907
51830,4,2,2,201907
50805,9,7,1,201908
50517,6,3,3,201907
50971,37,25,8,201907
52235,1,1,,201908
52240,4,3,1,202000
52720,8,2,5,201911
53020,2,1,1,202000
50250,1,,,201910
51770,15,14,1,201907
51830,5,3,2,201910
51200,6,,6,201907
53130,1,1,,201910
50045,1,,1,201907
50517,3,3,,201909
52870,1,,,201908
51941,4,3,1,202000
52940,1,,1,201907
50210,1,,1,201910
50210,1,,1,201911
51070,1,1,,202000
51840,1,1,,202000
50120,1,,,201911
51350,1,1,,201907
51205,2,1,1,202000
52320,31,22,7,201909
52295,6,5,1,201911
53130,1,1,,201907
50120,1,,,201908
50517,6,3,3,202000
51890,7,5,,201907
50600,1,1,,201909
51040,11,7,3,201910
51130,137,100,25,201911
51815,82,76,5,201911
53115,2,2,,201907
50030,764,576,182,201909
51130,133,103,18,201910
51870,26,10,14,201908
51910,6,3,2,201907
50060,60,35,20,201911
noPort,1015,670,264,201908
50140,29,21,7,201909
50970,135,117,10,201909
50971,26,17,5,201911
50060,62,39,18,201908
51200,8,1,7,201910
53115,3,3,,201908
50790,1,,1,201910
50932,1,,1,201908
52065,12,2,9,201910
53130,1,1,,201908
51100,29,9,17,201910
51810,17,17,,201911
52940,1,1,,202000
50140,32,20,9,201908
50441,5,2,3,201908
50441,2,,,201909
51850,3,2,1,201908
52297,1,,1,202000
52720,7,,6,201910
51803,30,29,,201911
50250,1,1,,201907
51180,1,,,201908
