inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
50060,40,27.9,18.9,201907
51040,41,32.4,7.8999999999999995,201909
50070,1,1.2999999999999998,,201911
51840,1,,,201908
50140,25,10.899999999999999,14.600000000000001,201911
noPort,1138,1360.2999999999997,629.2999999999997,201908
51260,9,,10.8,201911
50350,2,,2.7,201908
52090,1,0.2999999999999998,,202000
50516,269,60.20000000000001,559.5000000000002,202000
51840,1,,3.8000000000000007,201907
51070,1,,,201908
51280,6,10.500000000000002,3.500000000000001,201907
51830,6,3.7,0.7000000000000002,201907
53100,2,2.5,,201907
50380,31,33.3,12.0,201911
51260,9,,17.3,201908
51290,1,0.6000000000000005,,201911
52235,2,0.7000000000000002,2.4000000000000004,201910
52510,1,,1.0,201910
51010,8,10.399999999999999,3.0,201909
51130,115,141.7,54.6,201907
51205,1,2.8,,201907
51320,3,4.999999999999999,1.5,201907
50140,22,9.099999999999998,5.499999999999999,201909
50970,221,336.09999999999985,59.49999999999999,201909
50971,37,46.400000000000006,8.1,201911
51200,6,,14.100000000000001,202000
53010,3,2.4000000000000004,0.5,201909
52270,1,0.10000000000000009,,201911
51020,1,3.1000000000000005,,201911
51810,2,3.5,,202000
50055,788,759.7000000000004,493.79999999999995,201909
51504,2,,1.5,201910
51320,2,2.2,0.9000000000000004,201911
51260,14,0.10000000000000053,15.200000000000001,201910
53133,7,6.7,1.4000000000000004,201908
51280,6,12.3,1.9000000000000004,201911
51890,9,7.600000000000001,0.09999999999999964,201910
51941,13,5.300000000000001,3.300000000000001,201908
50785,19,5.999999999999998,14.399999999999997,202000
51220,31,55.900000000000006,39.0,201911
51400,10,10.0,9.5,201907
51845,35,16.200000000000003,34.49999999999999,201910
52260,9,0.9999999999999991,10.600000000000001,201910
52720,18,5.6000000000000005,10.5,201908
53020,7,5.400000000000002,1.5999999999999996,201909
50518,5,13.8,,201907
50350,9,16.200000000000003,0.2999999999999998,201911
53100,2,2.0,,201909
50805,3,6.000000000000001,1.2000000000000002,201909
51260,4,,2.3,202000
