,no,name,lat_ddm,lon_ddm,lat_dd,lon_dd
74,52140,POSO,1° 22' S,120° 45' E,-1.3666666666666667,120.75
75,51180,PROBOLINGGO,7° 43' S,113° 13' E,-7.716666666666667,113.21666666666667
76,50441,PULAU BAAI,3° 55' S,102° 17' E,-3.9166666666666665,102.28333333333333
77,50060,PULAU SAMBU,1° 10' N,103° 54' E,1.1666666666666667,103.9
78,52270,RAHA ROADSTEAD,4° 51' S,122° 44' E,-4.85,122.73333333333333
79,50231,RAMBA,2° 37' S,104° 8' E,-2.6166666666666667,104.13333333333334
80,51070,REMBANG,6° 42' S,111° 21' E,-6.7,111.35
81,50610,SABANG,5° 53' N,95° 19' E,5.883333333333333,95.31666666666666
82,53050,SAILOLOF,1° 15' S,130° 45' E,-1.25,130.75
83,52695,SALAWATI,1° 21' S,130° 59' E,-1.35,130.98333333333332
84,51820,SAMARINDA,0° 31' S,117° 7' E,-0.5166666666666667,117.11666666666666
85,51910,SAMPIT,2° 31' S,113° 0' E,-2.5166666666666666,113.0
86,52870,SAUMLAKI,7° 59' S,131° 18' E,-7.983333333333333,131.3
87,50055,SEKUPANG,1° 8' N,103° 55' E,1.1333333333333333,103.91666666666667
88,51040,SEMARANG,6° 57' S,110° 25' E,-6.95,110.41666666666667
89,51830,SENIPAH OIL TERMINAL,0° 57' S,117° 10' E,-0.95,117.16666666666667
90,52940,SERUI,1° 54' S,136° 15' E,-1.9,136.25
91,50510,SIBOLGA,1° 44' N,98° 46' E,1.7333333333333334,98.76666666666667
92,51870,STAGEN,3° 18' S,116° 9' E,-3.3,116.15
93,50300,SUNGAIGERONG,2° 59' S,104° 50' E,-2.9833333333333334,104.83333333333333
94,50805,SUNGAIPAKNING,1° 21' N,102° 10' E,1.35,102.16666666666667
95,51130,SURABAYA,7° 12' S,112° 44' E,-7.2,112.73333333333333
96,52440,TAHUNA,3° 37' N,125° 29' E,3.6166666666666667,125.48333333333333
97,51865,TANAH MERAH,1° 49' S,116° 10' E,-1.8166666666666667,116.16666666666667
98,51770,TANJUNG ARANG  (BUNYU),3° 28' N,117° 50' E,3.466666666666667,117.83333333333333
99,50516,TANJUNG BALAI KARIMUN,0° 59' N,103° 26' E,0.9833333333333333,103.43333333333334
100,51254,TANJUNG BENETE,8° 54' S,116° 45' E,-8.9,116.75
101,50932,TANJUNG GEREM,5° 58' S,105° 59' E,-5.966666666666667,105.98333333333333
102,50250,TANJUNGPANDAN,2° 45' S,107° 38' E,-2.75,107.63333333333334
103,50040,TANJUNGPINANG,0° 55' N,104° 27' E,0.9166666666666666,104.45
104,51800,TANJUNGREDEB,2° 9' N,117° 29' E,2.15,117.48333333333333
105,51803,TANJUNG SANGATA,0° 22' N,117° 34' E,0.36666666666666664,117.56666666666666
106,51815,TANJUNG SANTAN,0° 6' S,117° 32' E,-0.1,117.53333333333333
107,50935,TANJUNG SEKONG,5° 55' S,106° 0' E,-5.916666666666667,106.0
108,50030,TANJUNGUBAN,1° 4' N,104° 13' E,1.0666666666666667,104.21666666666667
109,51500,TAREMPAH,3° 13' N,106° 13' E,3.216666666666667,106.21666666666667
110,51020,TEGAL,6° 51' S,109° 8' E,-6.85,109.13333333333334
111,50450,TELUK BAYUR,1° 0' S,100° 22' E,-1.0,100.36666666666666
112,52480,TELUK BEO,4° 14' N,126° 47' E,4.233333333333333,126.78333333333333
113,52510,TERNATE,0° 47' N,127° 23' E,0.7833333333333333,127.38333333333334
114,53020,TG. SORONG,0° 53' S,131° 14' E,-0.8833333333333333,131.23333333333332
115,50120,TOBOALI,3° 1' S,106° 27' E,-3.0166666666666666,106.45
116,51100,TUBAN,6° 44' S,112° 9' E,-6.733333333333333,112.15
117,51502,UDANG OILFIELD,4° 2' N,106° 29' E,4.033333333333333,106.48333333333333
118,52320,UJUNG PANDANG,5° 8' S,119° 24' E,-5.133333333333334,119.4
119,50600,ULEELHEUE,5° 34' N,95° 17' E,5.566666666666666,95.28333333333333
120,52660,WAHAI,2° 47' S,129° 30' E,-2.783333333333333,129.5
121,51350,WAINGAPU,9° 38' S,120° 13' E,-9.633333333333333,120.21666666666667
122,51504,WIDURI MARINE TERMINAL,4° 40' S,106° 39' E,-4.666666666666667,106.65
