50935,TANJUNG SEKONG,5° 55' S,106° 0' E
50030,TANJUNGUBAN,1° 4' N,104° 13' E
51500,TAREMPAH,3° 13' N,106° 13' E
51020,TEGAL,6° 51' S,109° 8' E
50450,TELUK BAYUR,1° 0' S,100° 22' E
52480,TELUK BEO,4° 14' N,126° 47' E
52510,TERNATE,0° 47' N,127° 23' E
53020,TG. SORONG,0° 53' S,131° 14' E
50120,TOBOALI,3° 1' S,106° 27' E
51100,TUBAN,6° 44' S,112° 9' E
51502,UDANG OILFIELD,4° 2' N,106° 29' E
52320,UJUNG PANDANG,5° 8' S,119° 24' E
50600,ULEELHEUE,5° 34' N,95° 17' E
52660,WAHAI,2° 47' S,129° 30' E
51350,WAINGAPU,9° 38' S,120° 13' E
51504,WIDURI MARINE TERMINAL,4° 40' S,106° 39' E
